CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,PERCENT_HISPANIC_FEMALE,PERCENT_WHITE_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_OF_PARAPHERNALIA_DRUG_ARRESTS,PERCENT_NEEDLE_SYRINGE_ARRESTS,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_ASAIN_FEMALE,PERCENT_CANNABIS_ARRESTS,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_MALE,PERCENT_WHITE_FEMALE,PERCENT_CONTROLLED_SUBSTANCE_ARRESTS,PERCENT_TWO_OR_MORE_RACES_MALE,UNEMPLOYMENT_RATE,PERCENT_OF_METH_ARRESTS,PERCENT_NATIVE_HAWAIIN_MALE,POPULATION_PERCENT_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_ASAIN_MALE,PERCENT_BLACK_FEMALE,PERCENT_HISPANIC_MALE,HTS_PER_100K,SEXUAL_ASSAULT_PER_100K,ARSON_PER_100K,MVT_PER_100K,BURGLARY_PER_100K,COUNTY,POPULATION,HOMOCIDES_PER_100K,BATTERY_ASSAULT_PER_100K,HTIS_PER_100K,YEAR,THEFT_PER_100K,ROBBERY_PER_100K
11,576.557,60.0435,636.6,0.00749937,0.486325,0.00012604,0.467532,0,0.00119738,0.00258382,29.8701,0.00107134,0.00239476,0.498488,7.79221,0.00478951,6.2,15.5844,0.00012604,0.491177,0.00447441,0.000819259,0.00195362,0.00894883,0,6.18047,12.3609,37.0828,166.873,"CLARK",16180,0,37.0828,0,2015,377.009,0
12,1221.16,191.538,1412.7,0.0059697,0.488546,0,0.333333,0,0.00141781,0.00514887,30.9524,0.000970077,0.00268637,0.491605,10.7143,0.00507425,7,25,0,0.495112,0.0045519,0.00268637,0.00216402,0.00776062,0,0,7.39645,14.7929,199.704,"CLAY",13520,0,81.3609,0,2015,1109.47,0
13,1039.68,-246.38,793.3,0.0114961,0.483287,0.000265498,0.281818,0.909091,0.00151334,0.00353113,40.9091,0.00215054,0.0309571,0.464808,20,0.00546927,4.5,10,0.000371698,0.51897,0.00565512,0.00185849,0.00525687,0.0187707,0,9.37734,18.7547,24.3811,82.5206,"CLINTON",53320,0,56.2641,0,2015,598.275,3.75094
14,1566.49,-56.6862,1509.8,0.0117097,0.458518,0.000172483,0.27459,0.819672,0.00137987,0.00611357,29.0984,0.00126488,0.0192223,0.478564,18.4426,0.00774258,6,24.1803,0.00095824,0.486173,0.00835585,0.00559612,0.0192415,0.0119205,0,61.8905,18.7547,24.3811,273.818,"COLES",53320,1.87547,234.434,0,2015,868.342,26.2566
15,2974.6,-46.7989,2927.8,0.122359,0.333689,0.000359643,0.113735,0.475806,0.00358632,0.0381698,50.8938,0.00381687,0.110639,0.330819,37.0758,0.00917109,6.2,0.181155,0.000382335,0.484914,0.00949698,0.0352117,0.132655,0.12696,0.457452,36.4246,19.2892,239.152,391.693,"COOK",5.24646e+06,10.1783,288.366,0.0953024,2015,1728.31,213.801
16,1135.28,318.82,1454.1,0.00753051,0.468294,0.000155804,0.488,0.8,0.00155804,0.00353155,25.6,0.00202545,0.0459102,0.467411,16.8,0.00503765,5.9,8,0.000311607,0.519242,0.00488185,0.00228512,0.00321994,0.0144897,0,10.313,20.626,72.191,283.607,"CRAWFORD",19393,0,206.26,0,2015,861.135,0
17,622.313,-234.613,387.7,0.00561694,0.494015,0.000460405,0.384615,0,0.00092081,0.0038674,46.1538,0.000828729,0.00313075,0.486648,7.69231,0.00497238,5.2,7.69231,0.000184162,0.500829,0.00460405,0.00202578,0.00267035,0.00469613,0,0,0,36.9242,92.3105,"CUMBERLAND",10833,0,83.0795,0,2015,175.39,0
18,1815.55,244.954,2060.5,0.0526993,0.446432,0.000345506,0.342273,1.40485,0.0018331,0.013897,46.3602,0.00226498,0.0333125,0.437478,17.3691,0.00913672,5.5,0.63857,0.000355103,0.496521,0.00961658,0.0134651,0.040309,0.054302,0,67.3228,16.1196,38.8766,211.451,"DEKALB",105462,0.948209,180.16,0,2015,1512.39,33.1873
19,1054.45,-184.651,869.8,0.0334258,0.485455,0,0.640351,1.75439,0.0012604,0.00302496,18.4211,0.00196622,0.00357953,0.492312,15.7895,0.00544492,4.9,0,5.04159e-05,0.494681,0.00564658,0.00337787,0.00307537,0.0385682,0,5.0279,0,45.2511,155.865,"DOUGLAS",19889,0,231.284,0,2015,427.372,5.0279
20,1310.43,34.4686,1344.9,0.0683884,0.40722,0.000257067,0.338296,0.810587,0.00197192,0.0600551,53.383,0.00193336,0.0237765,0.41045,11.6956,0.00959395,4.8,0.281224,0.000258138,0.490659,0.00932939,0.0567261,0.0272769,0.0717924,0.321644,17.0471,6.64731,36.2386,141.738,"DUPAGE",932708,0.428859,48.0322,0.321644,2015,1070.32,23.8017
21,1424.34,313.265,1737.6,0.00590808,0.481736,5.68085e-05,0.402985,1.86567,0.00102255,0.00181787,16.0448,0.00107936,0.00306766,0.503778,16.791,0.00420383,6.2,25,0.000170425,0.487303,0.00374936,0.00102255,0.00227234,0.00488553,0,16.8152,16.8152,117.706,610.952,"EDGAR",17841,0,162.547,0,2015,801.525,11.2101
22,416.349,-68.7486,347.6,0.00476117,0.486408,0,0,0,0.00122869,0.00199662,100,0.00122869,0.00322531,0.495162,0,0.00537552,5.9,0,0,0.493012,0.00552911,0.00122869,0.00307172,0.00767931,0,0,0,0,136.013,"EDWARDS",6617,0,60.4504,0,2015,151.126,0
23,1341.89,691.91,2033.8,0.00888837,0.490351,0.000233904,0.456456,0,0.00128647,0.00286533,33.6336,0.00128647,0.00289457,0.491346,12.6126,0.0039179,4.8,8.10811,5.84761e-05,0.498275,0.00409333,0.00336238,0.00190047,0.0102918,0,20.3963,14.5688,69.9301,343.823,"EFFINGHAM",34320,0,116.55,0,2015,1459.79,8.74126
24,992.87,113.63,1106.5,0.00549102,0.479125,0.000136141,0.393162,2.5641,0.00104375,0.00181521,24.7863,0.00131603,0.048693,0.458613,23.0769,0.00630786,6.5,10.2564,9.07606e-05,0.531176,0.00549102,0.00140679,0.00172445,0.011572,0,41.1523,0,22.8624,155.464,"FAYETTE",21870,0,32.0073,0,2015,855.053,0
25,1346.97,508.633,1855.6,0.0136004,0.481632,0.000221746,0.464286,1.19048,0.00103481,0.00258704,33.3333,0.00221746,0.00650455,0.494124,11.9048,0.00569148,5.3,7.14286,7.39153e-05,0.492867,0.00613497,0.00199571,0.00303053,0.0159657,0,58.4454,14.6113,36.5283,460.257,"FORD",13688,0,292.227,0,2015,971.654,21.917
26,1181.77,97.0271,1278.8,0.00771907,0.486073,0.000101567,0.443515,0.83682,0.00238682,0.00266613,21.3389,0.00172663,0.00284387,0.493919,22.5941,0.00611939,8,10.8787,2.53917e-05,0.492675,0.00591626,0.00167585,0.00233603,0.00863317,0,10.1495,7.61209,55.822,360.305,"FRANKLIN",39411,0,101.495,0,2015,738.373,5.07473
27,1004.79,220.009,1224.8,0.00641223,0.477893,0,0.442922,0,0.00154006,0.00148405,34.7032,0.00481617,0.0355613,0.468709,18.2648,0.00509618,7.6,2.73973,0.000168006,0.520651,0.00476017,0.00156806,0.0028561,0.0223728,0,24.9951,13.8862,52.7675,211.07,"FULTON",36007,2.77724,83.3171,0,2015,824.84,11.109
28,1122.34,143.96,1266.3,0.0072783,0.477112,0,0.315789,10.5263,0.00134074,0.000574603,42.1053,0.00210688,0.00363915,0.504118,10.5263,0.00555449,6.6,5.26316,0,0.483432,0.00823597,0.000383068,0.00229841,0.0107259,0,18.9,18.9,37.8,359.1,"GALLATIN",5291,0,94.5001,0,2015,737.101,0
29,1032.54,121.255,1153.8,0.00472087,0.490821,7.49344e-05,0.363636,10.9091,0.00112402,0.00104908,20.9091,0.00112402,0.0100412,0.488797,16.3636,0.00412139,6.1,15.4545,7.49344e-05,0.503484,0.00344698,0.00104908,0.00202323,0.00689397,0,52.1066,0,14.8876,364.746,"GREENE",13434,0,156.32,0,2015,565.729,0
30,1158.92,-2.72174,1156.2,0.0444771,0.485138,0.000258126,0.418941,4.6549,0.00150904,0.00434843,36.7576,0.00178703,0.00742609,0.482279,15.7303,0.00623474,7,0.963082,0.000119135,0.498362,0.0059369,0.00357405,0.00730695,0.0484483,1.98314,27.764,21.8146,15.8651,216.163,"GRUNDY",50425,0,41.646,0,2015,819.038,11.8989
31,781.038,2.46188,783.5,0.0078807,0.479995,0,0,0,0.00206111,0.00218235,33.3333,0.00206111,0.00412221,0.500364,33.3333,0.00400097,5.5,33.3333,0.000121242,0.487512,0.00630456,0.000969932,0.00157614,0.00872939,0,0,24.108,96.432,216.972,"HAMILTON",8296,0,24.108,0,2015,421.89,0
32,465.925,-142.425,323.5,0.00702679,0.489679,0.000658762,0.6,0,0.0017567,0.00203118,26.6667,0.00120773,0.00285463,0.491711,0,0.00581906,6.1,13.3333,0.000384278,0.495993,0.00592885,0.0016469,0.00192139,0.00752086,0,16.176,0,37.744,97.056,"HANCOCK",18546,0,21.568,0,2015,150.976,0
33,873.575,22.5249,896.1,0.00958938,0.493976,0.000737644,0,0,0.00417998,0.00245882,0,0.0027047,0.00295058,0.482174,33.3333,0.00491763,8.4,66.6667,0.000491763,0.502582,0.00540939,0.00221293,0.00245882,0.00762233,0,24.2189,0,72.6568,145.314,"HARDIN",4129,0,145.314,0,2015,508.598,0
34,309.061,-309.061,0,0.00957553,0.485494,0.000428755,,,0.0015721,0.00314421,,0.0015721,0.00185794,0.497642,,0.00500214,6,,0.000428755,0.490496,0.0054309,0.00114335,0.00128627,0.00686008,0,0,0,0,0,"HENDERSON",6916,0,0,0,2015,0,0
35,1243.77,299.533,1543.3,0.0255047,0.484468,0.000120875,0.403125,0.9375,0.00151094,0.00286071,41.5625,0.00132963,0.0102744,0.482473,12.1875,0.00693017,6.1,5,0.000120875,0.498489,0.00721222,0.00207502,0.00733309,0.0283855,0,46.3383,0,24.1765,177.294,"HENRY",49635,0,76.5589,0,2015,1216.88,2.01471
36,1315.45,152.747,1468.2,0.0318,0.478017,0.000210364,0.333333,2.27273,0.00147255,0.00343594,33.3333,0.00171797,0.00645116,0.495688,24.2424,0.00606549,5.6,6.81818,3.50607e-05,0.488605,0.00634598,0.0021387,0.00424234,0.0350957,0,20.7763,3.46272,41.5527,353.198,"IROQUOIS",28879,0,103.882,0,2015,931.473,13.8509
37,2921.89,92.7088,3014.6,0.0207552,0.408484,0.000388422,0.371512,0.587372,0.00298916,0.0178167,47.4302,0.00258385,0.0696288,0.383305,13.5095,0.0139156,5.5,1.32159,0.000455973,0.501841,0.0139832,0.0195393,0.0796771,0.0216503,0,68.7032,11.7298,75.4059,614.977,"JACKSON",59677,1.67569,149.136,0,2015,2022.55,70.3789
38,496.284,-288.484,207.8,0.00643821,0.498339,0.000207684,0.444444,0,0.00124611,0.00238837,33.3333,0.00155763,0.00176532,0.489304,22.2222,0.00342679,6.2,0,0,0.502908,0.00332295,0.00103842,0.000623053,0.00737279,0,0,0,0,31.1753,"JASPER",9623,0,20.7835,0,2015,155.877,0
39,2894.86,782.445,3677.3,0.00851798,0.452785,0.000156773,0.27451,1.78253,0.00164611,0.00561768,28.3422,0.00177676,0.0550272,0.432745,16.0428,0.00932797,6.7,26.3815,0.000156773,0.515468,0.00924958,0.00543478,0.0351171,0.0152331,0,57.0924,57.0924,64.8778,682.514,"JEFFERSON",38534,5.19022,500.856,0,2015,2226.61,83.0435
40,1576.19,262.412,1838.6,0.00709793,0.478616,8.98473e-05,0.384615,10.2564,0.00161725,0.00539084,25.3205,0.00206649,0.00377358,0.496945,22.7564,0.00592992,6.3,3.20513,0.000224618,0.486882,0.00592992,0.00157233,0.00314465,0.00561545,0,101.901,8.86093,26.5828,367.729,"JERSEY",22571,0,53.1656,0,2015,1280.4,0
41,1123.04,229.556,1352.6,0.013369,0.493112,0.000135956,0.491667,0,0.000997009,0.00285507,39.1667,0.00131424,0.00280975,0.48935,5.83333,0.00430527,5.4,5.83333,0.00031723,0.499819,0.00398804,0.00203934,0.00285507,0.0158162,44.9357,26.9614,8.98715,40.4422,287.589,"JO DAVIESS",22254,0,67.4036,0,2015,867.26,8.98715
42,816.659,-23.0585,793.6,0.00845269,0.469281,7.82656e-05,0.347826,4.34783,0.000860922,0.00156531,26.087,0.0022697,0.0894576,0.427017,15.2174,0.00446114,8.5,19.5652,0.000234797,0.562495,0.00555686,0.000939188,0.00242624,0.0241841,0,7.93588,0,31.7435,119.038,"JOHNSON",12601,7.93588,269.82,0,2015,357.115,0
43,1390.62,42.1808,1432.8,0.152858,0.441711,0.000382026,0.298077,0.400641,0.00474506,0.0215618,54.3269,0.00538619,0.0297356,0.436083,15.2244,0.00916295,5.7,0.240385,0.000374461,0.497201,0.00939368,0.0195022,0.0306339,0.160939,0,22.5675,6.82716,45.3247,190.591,"KANE",527306,2.46536,121.751,0,2015,1000.56,42.6697
44,2380.69,99.2109,2479.9,0.0468814,0.409557,0.000170022,0.28125,2.08333,0.00204922,0.00539597,39.1667,0.00198658,0.074264,0.413298,30.4167,0.00968233,6.8,0.208333,0.000232662,0.491329,0.00917226,0.00469799,0.0785861,0.0527606,0,35.0168,33.2211,70.0337,440.853,"KANKAKEE",111375,4.48934,166.105,0,2015,1656.57,73.6251
45,1127.03,-34.3349,1092.7,0.0857192,0.443277,0.000276697,0.42885,0.779727,0.0023031,0.0171064,50.8772,0.00249028,0.0338059,0.440396,5.26316,0.00971695,5.2,0.194932,0.000244145,0.495068,0.0101401,0.0147789,0.0347092,0.0884373,0,29.6663,3.29625,24.7219,135.97,"KENDALL",121350,0,34.6106,0,2015,848.785,15.6572
46,2327.16,54.6416,2381.8,0.0236325,0.442904,0.0001752,0.179104,0,0.0015768,0.00548958,42.9104,0.00227759,0.0532996,0.449328,27.9851,0.0121666,6.1,11.194,9.73331e-05,0.503485,0.0124781,0.00441892,0.0274674,0.0313023,0,50.8772,7.53736,69.7206,433.398,"KNOX",53069,1.88434,282.651,0,2015,1501.82,33.9181
47,1548.58,57.1245,1605.7,0.101799,0.420963,0.000432863,0.362199,1.4433,0.00404479,0.0389818,47.331,0.00441662,0.0363378,0.409196,14.5934,0.0102567,5.4,0.412371,0.00047402,0.499405,0.0101829,0.03644,0.037757,0.107825,0,21.98,14.6061,52.1848,240.362,"LAKE",705186,1.98529,84.8003,0,2015,1151.61,38.146
48,1550.27,377.928,1928.2,0.0431458,0.478251,0.000171142,0.357349,0.864553,0.00173844,0.00533242,43.9481,0.00172043,0.0201227,0.476171,18.2997,0.00656644,6.9,1.15274,0.000135112,0.50377,0.00605302,0.00314361,0.00676461,0.0488655,0,37.7559,9.88844,24.2716,299.35,"LASALLE",111241,1.7979,92.5918,0,2015,1448.21,14.3832
49,671.019,31.1814,702.2,0.00698451,0.455998,0.00012147,0.286624,7.00637,0.00170058,0.00151837,27.3885,0.00212572,0.0975402,0.428545,15.9236,0.00601275,7.1,21.0191,0.000182205,0.558943,0.00510173,0.00297601,0.00406924,0.0309141,0,6.05364,0,96.8582,242.145,"LAWRENCE",16519,0,102.912,0,2015,254.253,0
50,1291.25,24.4462,1315.7,0.023435,0.476869,0.000231743,0.189655,0.431034,0.00121665,0.00460589,49.1379,0.00194085,0.0455085,0.450653,31.4655,0.00715507,5.3,0,0.000231743,0.528432,0.00750268,0.00344718,0.00735784,0.0353987,5.75788,60.4578,8.63682,51.8209,270.62,"LEE",34735,0,83.4893,5.75788,2015,811.861,17.2736
51,1256,12.998,1269,0.0186313,0.470018,8.1956e-05,0.306202,2.71318,0.0013113,0.00387925,39.5349,0.00144789,0.0267723,0.46898,27.1318,0.00778582,5.4,0,2.73187e-05,0.5025,0.00622866,0.00374266,0.0170195,0.0252698,0,50.128,2.63831,18.4682,211.065,"LIVINGSTON",37903,2.63831,124.001,0,2015,841.622,18.4682
52,1481.8,185.703,1667.5,0.0114738,0.448538,6.82967e-05,0.388889,2.99145,0.00133179,0.00430269,38.0342,0.00218549,0.0514957,0.453388,20.0855,0.0072736,5.4,0,0.000102445,0.506317,0.00659063,0.00344898,0.0280016,0.0222306,0,13.4472,10.0854,63.8741,279.029,"LOGAN",29746,0,161.366,0,2015,1106.03,33.618
53,1461.26,125.938,1587.2,0.0132596,0.455881,0.000222583,0.336552,0.413793,0.00184426,0.0105886,53.1034,0.00171707,0.0258514,0.455658,9.65517,0.0089033,6.1,3.17241,0,0.495342,0.00839454,0.0114153,0.02795,0.0138319,0,65.872,21.9573,21.9573,238.394,"MCDONOUGH",31880,0,207.026,0,2015,1022.58,9.41029
54,1131.1,-35.9991,1095.1,0.0598527,0.474347,0.000253599,0.435676,0.756757,0.00223362,0.0150436,36.3243,0.00232791,0.00800463,0.470267,18.973,0.00743241,5.4,0.378378,0.000282861,0.49802,0.00730561,0.0127417,0.00687644,0.0643492,0,22.7803,6.83409,17.2479,119.108,"MCHENRY",307283,0.650866,67.69,0,2015,854.912,5.85779
55,1924.41,29.4911,1953.9,0.0229177,0.417729,0.000196372,0.321893,0.650888,0.00145546,0.0267701,49.0533,0.0013977,0.0380615,0.433716,17.574,0.0114242,4.7,0.532544,0.000265679,0.486211,0.0118632,0.0283064,0.0397884,0.0238014,0,59.1747,5.74511,65.4943,312.534,"MCLEAN",174061,0,168.332,0,2015,1308.74,33.8962
56,3046.19,-62.3864,2983.8,0.0109649,0.390561,0.00020495,0.31405,0.0751315,0.00113654,0.00609262,47.1074,0.0014626,0.0808343,0.40774,16.3035,0.0137783,6.9,5.10894,0.000195635,0.479267,0.0135174,0.00552435,0.0920414,0.0108065,0,32.3027,28.611,60.9137,665.436,"MACON",108350,5.53761,237.194,0,2015,1838.49,115.367
57,1293.76,75.3414,1369.1,0.00582004,0.485265,6.53937e-05,0.399441,1.95531,0.00178743,0.00228878,36.3128,0.00161304,0.00477374,0.493046,14.5251,0.0051879,6.3,7.26257,0.000174383,0.493526,0.00496992,0.00143866,0.00431598,0.00503531,0,21.5271,6.45814,32.2907,243.257,"MACOUPIN",46453,4.30543,139.926,0,2015,912.751,8.61085
58,1950.56,-12.5612,1938,0.0147935,0.441646,0.000266921,0.339165,4.17607,0.00159025,0.00527827,30.9255,0.00159025,0.0389705,0.450695,27.5395,0.00951894,6,3.44244,0.000315794,0.487244,0.00948511,0.00428202,0.0454405,0.0159589,0,37.8902,13.5054,70.1531,310.999,"MADISON",266560,0.7503,117.047,0,2015,1362.17,25.5102
59,2452.57,75.2259,2527.8,0.00831617,0.461691,7.82085e-05,0.24183,3.92157,0.00164238,0.00388436,22.2222,0.00205949,0.0205428,0.477984,27.1242,0.0088897,6.7,22.549,0.000182487,0.48763,0.00886363,0.00271123,0.0199171,0.0105321,0,85.5565,15.5557,103.705,513.339,"MARION",38571,10.3705,212.595,0,2015,1560.76,25.9262
60,804.602,-138.702,665.9,0.0164361,0.489811,0.000167715,0.463768,2.89855,0.001174,0.00259958,40.5797,0.00192872,0.00293501,0.490147,10.1449,0.0045283,6.6,0,0.000419287,0.497107,0.00628931,0.00184486,0.00251572,0.0155136,0,41.6181,0,16.6472,166.472,"MARSHALL",12014,8.32362,83.2362,0,2015,349.592,0
61,1331.81,121.588,1453.4,0.00461661,0.485465,0,0.189655,3.44828,0.00201977,0.0023083,34.4828,0.00144269,0.00353459,0.49578,29.3103,0.00656424,7.1,13.7931,0.000144269,0.492462,0.00562649,0.00144269,0.00180336,0.00634783,0,64.7575,14.3906,35.9764,295.006,"MASON",13898,0,158.296,0,2015,870.629,14.3906
62,2668.14,96.0629,2764.2,0.0126313,0.446695,0,0.303704,5.18519,0.00267728,0.00226539,28.1481,0.00205945,0.0280772,0.473673,23.7037,0.0107091,7.3,12.5926,0.000205945,0.479646,0.0125626,0.00226539,0.0291755,0.0144848,0,40.2549,6.70916,100.637,503.187,"MASSAC",14905,0,248.239,0,2015,1845.02,20.1275
63,735.253,-146.553,588.7,0.00744577,0.479524,8.09323e-05,0.5,0,0.00129492,0.00242797,42.8571,0.00186144,0.00469408,0.498948,7.14286,0.00720298,4.8,0,8.09323e-05,0.487294,0.00582713,0.000890256,0.00412755,0.00687925,0,0,0,0,151.154,"MENARD",12570,0,87.5099,0,2015,350.04,0
64,614.123,-99.8225,514.3,0.0118125,0.490283,0.000127016,1,0,0.000317541,0.00260384,0,0.00107964,0.00349295,0.493522,0,0.00520767,6.2,0,6.35082e-05,0.496634,0.00406452,0.00146069,0.00273085,0.00971675,0,0,0,6.27156,131.703,"MERCER",15945,0,0,0,2015,376.294,0
65,604.81,-41.41,563.4,0.00755802,0.490649,0.000148196,0.390411,4.10959,0.00109665,0.00376419,38.3562,0.00112629,0.001808,0.493287,15.0685,0.00406058,4.4,3.42466,0.000207475,0.496043,0.00411986,0.00207475,0.00154124,0.00690596,0,5.93085,0,17.7925,154.202,"MONROE",33722,2.96542,5.93085,0,2015,373.643,2.96542
66,1277.65,357.254,1634.9,0.00568649,0.489072,0.000137024,0.473684,0.37594,0.00102768,0.00243217,25.188,0.00123321,0.0313785,0.465573,24.812,0.00376816,7.5,2.25564,0.000239792,0.523876,0.00445327,0.00181557,0.00250068,0.0108591,0,6.81222,10.2183,30.655,309.956,"MONTGOMERY",29359,0,122.62,0,2015,1147.86,6.81222
67,2053.4,10.8048,2064.2,0.00940213,0.453696,8.65227e-05,0.339833,0.278552,0.00118248,0.00291293,35.6546,0.00242263,0.0441554,0.462781,14.4847,0.00894067,5,15.5989,0.00031725,0.50411,0.0090272,0.00305713,0.0199002,0.0135264,0,20.0407,14.3148,20.0407,320.65,"MORGAN",34929,2.86295,157.462,0,2015,1517.36,11.4518
68,369.525,-248.225,121.3,0.00583328,0.483891,0,0.5,0,0.00122092,0.00149223,50,0.00122092,0.00264532,0.501933,0,0.00434104,4.3,0,0.000203486,0.489588,0.00393407,0.00135658,0.00183138,0.00691854,0,0,0,0,13.4798,"MOULTRIE",14837,0,13.4798,0,2015,94.3587,0
69,883.806,-340.506,543.3,0.0475766,0.484455,0.000290929,0.445993,3.13589,0.00170678,0.00316143,44.5993,0.0020365,0.0061483,0.487306,7.66551,0.00636164,6.1,0,0.0004073,0.496363,0.00661378,0.00292868,0.00455789,0.0501367,0,5.75982,3.83988,21.1193,101.757,"OGLE",52085,0,28.7991,0,2015,378.228,3.83988
70,3479.83,58.4734,3538.3,0.0224259,0.375556,0.000300299,0.25639,2.23642,0.00168918,0.0186829,49.1214,0.00204847,0.086116,0.382066,22.524,0.0143125,6.8,0.479233,0.000235949,0.485562,0.0142696,0.0209244,0.0974308,0.0232195,0,47.5125,27.2263,98.2282,705.748,"PEORIA",187319,8.54158,264.255,0,2015,2209.07,177.772
71,906.861,2.13882,909,0.00618001,0.462107,0.000325264,0.34632,2.5974,0.00111519,0.00250918,33.3333,0.00269504,0.0790855,0.430835,22.9437,0.00971145,7.1,6.49351,0.000325264,0.547837,0.0074346,0.00306677,0.00994378,0.0234655,0,4.61425,0,41.5282,115.356,"PERRY",21672,4.61425,119.97,0,2015,618.309,4.61425
72,807.437,184.563,992,0.00703364,0.489419,0.000366972,0.5,0,0.000795107,0.00256881,38.5417,0.00110092,0.00293578,0.493456,10.4167,0.00501529,4.9,1.04167,0.000122324,0.495535,0.00501529,0.00171254,0.002263,0.00611621,0,24.3442,6.08606,6.08606,261.7,"PIATT",16431,0,127.807,0,2015,566.003,0
73,884.214,-110.314,773.9,0.00487496,0.485027,0.000189934,0.438017,0,0.000886356,0.00151947,45.4545,0.0011396,0.0131054,0.490345,9.91736,0.00443178,5.1,0.826446,0.000569801,0.501425,0.00405191,0.00132953,0.00158278,0.00835708,0,6.24142,0,12.4828,118.587,"PIKE",16022,0,43.6899,0,2015,574.21,18.7243
74,1368.62,-1265.42,103.2,0.0118437,0.328266,0.000176772,0.666667,0,0.00282835,0.00212127,33.3333,0.00282835,0.15114,0.331271,0,0.0102528,8.8,0,0.000353544,0.483472,0.0137882,0.000530316,0.166343,0.0102528,0,0,0,0,34.3938,"PULASKI",5815,0,34.3938,0,2015,34.3938,0
75,443.799,-65.3986,378.4,0.0225249,0.504976,0.000174611,0.375,12.5,0.00226995,0.00226995,50,0.000698446,0.00523835,0.475292,0,0.00523835,6.1,0,0,0.51231,0.00488912,0.00104767,0.00279378,0.0281125,0,0,0,0,120.399,"PUTNAM",5814,0,0,0,2015,257.998,0
76,646.271,199.529,845.8,0.00740718,0.45766,0.000213376,0.337629,7.98969,0.00118881,0.00207279,25,0.00146315,0.0914162,0.423581,28.866,0.00627934,5.4,4.38144,0.000487716,0.553283,0.00536487,0.00195086,0.0142962,0.0228007,12.1695,33.4662,6.08476,21.2967,136.907,"RANDOLPH",32869,0,60.8476,0,2015,565.883,9.12714
77,2069.38,197.021,2266.4,0.00802156,0.48355,0.000125337,0.32948,2.89017,0.00137871,0.00507614,31.2139,0.00169205,0.00376011,0.490882,7.51445,0.00582816,5.8,25.4335,6.26684e-05,0.493514,0.00658018,0.00419878,0.00244407,0.00783355,0,74.7151,24.905,112.073,323.766,"RICHLAND",16061,0,149.43,0,2015,1575.24,6.22626
78,2698.52,-51.7198,2646.8,0.0615426,0.421859,0.000232727,0.308199,1.83016,0.00297069,0.0117048,49.3411,0.00273796,0.0545265,0.42869,16.7643,0.0139841,6.3,1.24451,0.000205347,0.493203,0.0134639,0.0131491,0.0497351,0.0632127,0,40.3935,12.3234,62.9865,395.035,"ROCK ISLAND",146063,2.05391,260.162,0,2015,1832.09,41.7628
79,2914.42,82.9794,2997.4,0.0187761,0.334821,0.000562566,0.289711,4.55192,0.00158198,0.00839318,43.7174,0.00178586,0.139535,0.330456,21.3845,0.0111569,6.5,1.37506,0.000490829,0.483104,0.0118328,0.005418,0.164069,0.0201995,0,57.5775,23.332,161.066,552.066,"ST. CLAIR",265729,12.0423,438.04,0,2015,1634.75,118.542
80,2391.42,-2.32237,2389.1,0.008614,0.462421,0.000163299,0.144737,4.60526,0.00224536,0.00371504,17.7632,0.00212288,0.0249439,0.475893,26.3158,0.0100429,7.7,36.8421,0.00061237,0.493284,0.0094305,0.00257195,0.0152684,0.00832823,0,12.1892,28.4414,121.892,735.414,"SALINE",24612,8.12612,227.531,0,2015,1239.23,16.2522
81,3792.2,176.2,3968.4,0.0111615,0.41024,0.000150831,0.254087,1.08992,0.00136754,0.0102364,42.1662,0.00129212,0.0587487,0.42923,27.248,0.0115889,5.3,4.08719,0.000170942,0.480633,0.0120313,0.00956772,0.0663506,0.0109604,0.50252,73.8705,32.6638,126.133,697.498,"SANGAMON",198997,5.52772,535.184,0,2015,2358.33,138.696
82,498.604,-116.604,382,0.00755139,0.495175,0,0.392157,0,0.000839043,0.00251713,45.098,0.000978884,0.0290868,0.459936,7.84314,0.00293665,5.8,7.84314,0,0.52622,0.00279681,0.000839043,0.00769123,0.0124458,0,0,13.6426,0,40.9277,"SCHUYLER",7330,0,40.9277,0,2015,286.494,0
83,407.259,-157.459,249.8,0.00528376,0.483953,0,0.5,0,0.000978474,0.00176125,50,0.00136986,0.00273973,0.501761,0,0.00469667,5.9,0,0,0.488845,0.00528376,0.000587084,0.00136986,0.00724071,0,0,0,19.216,96.0799,"SCOTT",5204,0,19.216,0,2015,115.296,0
84,499.45,-64.0497,435.4,0.0052248,0.48884,0.000137495,0.539474,3.94737,0.000824969,0.00183326,15.7895,0.00137495,0.00242908,0.49764,21.7105,0.00384986,5.8,4.60526,0.000229158,0.494706,0.00375819,0.00160411,0.00109996,0.00462899,0,4.53556,0,27.2134,68.0334,"SHELBY",22048,0,49.8911,0,2015,285.74,0
85,841.011,87.9894,929,0.00799273,0.48356,0,0.3,0,0.00127157,0.00326976,40,0.00127157,0.00290645,0.495005,25,0.00653951,6.6,5,0,0.4901,0.00653951,0.00163488,0.00381471,0.0058129,0,17.2028,34.4056,68.8113,120.42,"STARK",5813,0,68.8113,0,2015,619.302,0
