,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Male,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Male,Percent.Asain.Male,Percent.American.Indian.Male,Percent.Black.Male,Percent.White.Male,Population.Percent.Male,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,Percent.of.Paraphernalia.Drug.Arrests,Percent.Cannabis.Arrests,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,Normalize.2018.GDP,Percent.Change...2018
Prop.Male.Household.with.children.under.6,0.118969023,0.238146867,-0.076958159,0.016273014,-0.15713854,-0.201197082,-0.161808587,-0.008613578,0.09576219,0.043310259,0.015191733,0.11716058,0.013529148,-0.065044682,-0.078376944,0.261096142,0.110810853,0.025529705,0.143193451,0.046189946,1,0.682620224,0.551775976,-0.033798923,-0.230417378,-0.273246599,-0.295147033,0.045855287,-0.05799986,0.012364432,0.056304792,0.186433223,0.109574664,0.009121387,0.070652622,0.081185861,0.041504672,0.188870888,0.09658492,0.177330534,0.331751512,0.176236145,-0.000565013,0.264523352,0.243881288,-0.104976873,-0.237959184,0.25150411,0.118617824,0.212754029,0.035891164,0.096940335,0.03509734
Prop.Male.Household.with.children.under.18,0.169382701,0.270247031,-0.043427142,0.111655581,-0.018585855,-0.149577942,-0.194273054,0.039622732,-0.012548596,-0.044655401,0.071309893,0.084412698,0.005006969,-0.112892005,-0.074704989,0.337615964,0.220402657,0.175396821,0.281693807,0.080586166,0.682620224,1,0.815817023,-0.108456184,-0.346273416,-0.404974422,-0.493012966,-0.017265431,0.010422374,0.216911965,0.335878324,0.268687804,0.224696681,0.116258305,0.184818597,0.260334412,-0.09955964,0.273415101,0.359624563,0.364058279,0.392766391,0.368358458,0.117064435,0.388090267,0.457174343,-0.139357168,-0.360413227,0.329382888,0.209081049,0.270722283,0.012499606,0.074800309,0.014606453
Prop.Male.Household,0.312041893,0.332715674,0.092641667,0.197956097,0.124702722,-0.032060336,-0.129621403,0.078753961,-0.121046599,-0.108422579,0.031779706,0.020883997,0.074957746,-0.027659215,-0.135407023,0.490007911,0.294338578,0.323518909,0.455592022,0.642172808,0.551775976,0.815817023,1,-0.306204515,-0.385428133,-0.417700998,-0.693579053,0.035857427,0.064123397,0.299942875,0.400911308,0.299570447,0.357269981,0.086053945,0.283488375,0.338339844,-0.078530779,0.306241581,0.329059805,0.335822257,0.417828803,0.303496057,0.103574542,0.410537706,0.445774027,-0.135231545,-0.426806195,0.432836366,0.189695573,0.255353208,-0.070769262,-0.0714891,-0.052286605
Prop.Married.no.children.under.18,-0.435056856,0.136727356,-0.566471271,-0.517185722,-0.254457545,-0.491995074,-0.154764008,-0.310138956,0.553653438,0.209080974,0.312546949,0.237948498,-0.440630784,0.096904459,-0.241287555,-0.453418085,-0.254646656,-0.434794407,-0.513393339,-0.383998936,-0.033798923,-0.108456184,-0.306204515,1,-0.386002503,-0.4544794,0.51494475,0.261362661,0.1058019,0.107394131,0.029555581,-0.071130422,-0.211266112,-0.105027101,-0.086259064,-0.073333492,0.430719965,0.141663199,0.069783216,0.077055081,-0.151178699,-0.122241802,-0.133787945,-0.208853721,-0.107027134,-0.341332477,-0.091146207,-0.202090248,0.517105454,0.286699077,-0.010758457,0.344556447,-0.073034244
Prop.Married.with.children.under.6,-0.086666599,-0.571911121,0.29136455,-0.017857767,-0.112710435,0.406343092,0.220609026,0.086360925,-0.100664475,0.183220156,-0.313819634,-0.068664525,0.1370989,0.037396017,0.33686422,-0.270137741,-0.089511974,-0.149953768,-0.231909967,-0.205314183,-0.230417378,-0.346273416,-0.385428133,-0.386002503,1,0.707111124,0.312895057,-0.156047701,-0.324701725,-0.450444299,-0.446094482,-0.323649976,-0.194158248,0.077504711,-0.35549816,-0.330748155,-0.275657827,-0.308669838,-0.31266438,-0.155751856,-0.104931622,-0.177615233,0.113056833,-0.349843986,-0.24648724,0.316162821,0.589160374,-0.285901866,-0.620006671,-0.418933879,0.138411271,-0.17042768,0.100348843
Prop.Married.with.Children.under.18,-0.17232424,-0.570738487,0.445748041,-0.023333084,-0.062509582,0.391687422,0.148267813,-0.15763542,0.038545358,0.009762164,-0.362292369,-0.13684401,0.252645161,0.012059164,0.353004558,-0.390661744,-0.317895433,-0.440011692,-0.486673244,-0.183128966,-0.273246599,-0.404974422,-0.417700998,-0.4544794,0.707111124,1,0.529546148,-0.313153745,-0.304097695,-0.597920619,-0.569000219,-0.530716431,-0.416468696,-0.168905684,-0.563341713,-0.615197538,-0.233524623,-0.419804234,-0.466780841,-0.392536256,-0.367871377,-0.435047153,-0.127212136,-0.507206585,-0.562149773,0.664308685,0.674139014,-0.571035056,-0.722474755,-0.54783341,0.098792597,-0.140114926,0.105058379
Prop.Married.Couple.Family,-0.580147833,-0.417958018,-0.112085155,-0.515780735,-0.30279745,-0.092983196,-0.005173476,-0.447314364,0.565185081,0.20882946,-0.054244644,0.092832038,-0.172640225,0.103230394,0.11263347,-0.807751364,-0.548431515,-0.837507859,-0.957263679,-0.541922597,-0.295147033,-0.493012966,-0.693579053,0.51494475,0.312895057,0.529546148,1,-0.05246513,-0.191892792,-0.473138011,-0.51943315,-0.578475362,-0.601981916,-0.26256582,-0.624279644,-0.661874068,0.185447668,-0.269092148,-0.382752608,-0.304377967,-0.497991995,-0.53508181,-0.249831259,-0.687006488,-0.642910312,0.314243898,0.561960186,-0.741991087,-0.202829048,-0.254181692,0.084827967,0.193286043,0.031551724
Prop.Female.Poverty.75.,0.032579668,0.076471266,-0.273606203,-0.155965612,-0.100535889,-0.278521434,-0.124524948,-0.109265945,0.168911025,-0.032311306,0.363403917,-0.042033723,-0.21339806,0.086479846,-0.347321825,0.039366392,0.05417916,0.046396799,0.050436264,0.08468777,0.045855287,-0.017265431,0.035857427,0.261362661,-0.156047701,-0.313153745,-0.05246513,1,0.172379777,0.308170352,0.112621151,0.225734788,0.135758098,-0.032155422,0.072817062,0.21004195,0.347384804,0.020837175,0.252052828,0.180279297,0.07122119,0.103196913,-0.070728707,0.083753438,0.131759452,-0.338955193,-0.230700908,0.233307368,0.29620467,0.24555639,0.025274294,0.069136374,0.035589625
Prop.Female.Poverty.65.74,0.21768174,0.511760335,-0.190196804,0.086740187,0.185361525,-0.164190589,0.094310609,0.219969567,-0.131931478,0.058698364,0.373217338,-0.140789056,-0.097520557,-0.077238754,-0.248301492,0.172339373,0.236517349,0.189223536,0.211381676,0.096704986,-0.05799986,0.010422374,0.064123397,0.1058019,-0.324701725,-0.304097695,-0.191892792,0.172379777,1,0.536039541,0.518429723,0.320024861,0.33717509,0.011358772,0.367463562,0.476550482,0.26384603,0.287376929,0.222507732,-0.023750337,0.013394837,0.175233705,-0.005689203,0.331090861,0.208834892,-0.368815593,-0.494026033,0.28044862,0.560713618,0.357572578,-0.124014039,0.010653361,-0.012482138
Prop.Female.Poverty.55.64,0.303965822,0.561526057,-0.368421065,0.06936977,0.217884102,-0.207521162,-0.129248231,0.129522188,-0.116663245,-0.101679878,0.473790149,-0.054766289,-0.1537934,-0.064741437,-0.424409539,0.42823412,0.30965017,0.380212774,0.464245819,0.229446688,0.012364432,0.216911965,0.299942875,0.107394131,-0.450444299,-0.597920619,-0.473138011,0.308170352,0.536039541,1,0.655049543,0.416142485,0.537516875,0.155063199,0.498195663,0.670488574,0.253600458,0.391685413,0.554203171,0.283031294,0.257100121,0.429486836,0.125474568,0.543747377,0.544290132,-0.536622808,-0.64614591,0.524785352,0.638865672,0.442545753,-0.147336495,0.032624381,-0.123539535
Prop.Female.Poverty.45.54,0.249003563,0.623168935,-0.229329196,0.076193645,0.14980262,-0.190809769,-0.047427865,0.148004537,-0.115270509,-0.054918407,0.367115874,-0.036920076,-0.084537133,-0.15963177,-0.262295113,0.421854532,0.330511374,0.409339127,0.480917093,0.245779115,0.056304792,0.335878324,0.400911308,0.029555581,-0.446094482,-0.569000219,-0.51943315,0.112621151,0.518429723,0.655049543,1,0.532053453,0.55107572,0.168576152,0.563535104,0.708773574,0.164084365,0.467406037,0.49245221,0.359191856,0.322646966,0.433062911,0.165671882,0.555334619,0.583217708,-0.481882212,-0.692362582,0.531579305,0.642974932,0.425487396,-0.126224561,0.028881526,-0.125184927
Prop.Female.Poverty.35.44,0.261281985,0.547253169,-0.117081473,0.200127976,0.124129067,-0.132060073,0.129470573,0.276798836,-0.26696026,-0.068500018,0.301388305,-0.037127268,-0.069205909,-0.081397034,-0.262013468,0.501596578,0.280168798,0.520255046,0.594562823,0.160175032,0.186433223,0.268687804,0.299570447,-0.071130422,-0.323649976,-0.530716431,-0.578475362,0.225734788,0.320024861,0.416142485,0.532053453,1,0.516855969,0.230676289,0.732841001,0.751828859,-0.042963925,0.220490705,0.306831791,0.138721588,0.455258904,0.522826049,0.212301368,0.746393875,0.594277113,-0.374315559,-0.685519399,0.625846312,0.477592347,0.405302984,-0.030183407,-0.007177868,0.065205263
Prop.Female.Poverty.25.34,0.456649662,0.505796202,-0.171702821,0.298133268,0.053454577,-0.085174003,-0.000376655,0.277461668,-0.263213946,-0.045505815,0.288735133,-0.027574715,-0.073659309,-0.115804964,-0.208745952,0.373296287,0.593767341,0.620170913,0.600445276,0.317934173,0.109574664,0.224696681,0.357269981,-0.211266112,-0.194158248,-0.416468696,-0.601981916,0.135758098,0.33717509,0.537516875,0.55107572,0.516855969,1,0.36660585,0.624162012,0.794121025,0.042942318,0.265589446,0.295141818,0.17042532,0.362882269,0.514608978,0.332393786,0.652728289,0.606123374,-0.46736421,-0.56803714,0.651470415,0.397302887,0.435425845,-0.106603575,0.013647684,-0.093335476
Prop.Female.Poverty.18.24,0.245675824,0.063700567,-0.060760894,0.388453417,0.307110586,0.326402323,-0.004525079,0.226220507,-0.360919655,-0.096885439,0.007466355,-0.08986339,0.087968535,-0.084625814,0.046626697,0.110846582,0.310352896,0.348778892,0.289909135,-0.0057839,0.009121387,0.116258305,0.086053945,-0.105027101,0.077504711,-0.168905684,-0.26256582,-0.032155422,0.011358772,0.155063199,0.168576152,0.230676289,0.36660585,1,0.147357802,0.587764828,-0.10371238,-0.017976081,0.049263403,-0.004178253,0.159835147,0.646861129,0.952494005,0.188973771,0.564966852,-0.305230669,-0.078236623,0.300432415,0.051087803,0.278072958,-0.143272691,0.016929035,-0.048089856
Prop.Female.17.and.Under,0.324870763,0.606823158,-0.133500296,0.259956299,0.221208839,-0.143258168,0.060994485,0.40581153,-0.378128655,-0.059793587,0.294896242,-0.025995262,-0.037088372,-0.106119617,-0.276970673,0.491431861,0.404706698,0.620491827,0.657620686,0.243626806,0.070652622,0.184818597,0.283488375,-0.086259064,-0.35549816,-0.563341713,-0.624279644,0.072817062,0.367463562,0.498195663,0.563535104,0.732841001,0.624162012,0.147357802,1,0.802989228,-0.022509435,0.295654981,0.26968066,0.111303196,0.308929101,0.466879281,0.124848146,0.751494947,0.525004721,-0.364376159,-0.705939499,0.662936797,0.460863575,0.393039221,-0.012973941,0.014358302,-0.028008261
Prop.Female.Poverty,0.42184999,0.610097593,-0.230443745,0.342520046,0.284553972,-0.040162594,0.015489638,0.369837318,-0.391553331,-0.094236915,0.367434577,-0.082567201,-0.054657804,-0.133434708,-0.287493108,0.482036969,0.517804719,0.663213056,0.682055237,0.238068674,0.081185861,0.260334412,0.338339844,-0.073333492,-0.330748155,-0.615197538,-0.661874068,0.21004195,0.476550482,0.670488574,0.708773574,0.751828859,0.794121025,0.587764828,0.802989228,1,0.053934335,0.313400048,0.381946123,0.181020535,0.381848705,0.721320694,0.543953622,0.73845592,0.774466706,-0.573417723,-0.711402637,0.735244545,0.557287564,0.544922158,-0.12835058,0.02723562,-0.066466176
Prop.Male.Poveryy.75.,-0.125031218,0.250018396,-0.22409969,-0.307752686,-0.14354794,-0.255208478,-0.106456079,-0.133960472,0.253493634,0.090199154,0.225030226,0.00646558,-0.215181508,0.065201218,-0.150357779,-0.141958203,-0.10616758,-0.190550055,-0.197633066,-0.003383897,0.041504672,-0.09955964,-0.078530779,0.430719965,-0.275657827,-0.233524623,0.185447668,0.347384804,0.26384603,0.253600458,0.164084365,-0.042963925,0.042942318,-0.10371238,-0.022509435,0.053934335,1,0.336881351,0.220666083,0.232083073,-0.006703785,-0.104600462,-0.116451045,-0.153329934,0.048996626,-0.218563401,-0.16221144,-0.084064019,0.404205075,0.224927613,-0.046581225,0.056692807,-0.105220415
Prop.Male.Poverty.65.74,0.043967767,0.404078688,-0.298396966,-0.164489807,-0.063209674,-0.202993358,-0.154475443,-0.060019106,0.097405345,-0.039233227,0.330680902,0.108976065,-0.271482275,-0.057364828,-0.206210442,0.251982402,0.148517085,0.129919142,0.209573455,0.165406967,0.188870888,0.273415101,0.306241581,0.141663199,-0.308669838,-0.419804234,-0.269092148,0.020837175,0.287376929,0.391685413,0.467406037,0.220490705,0.265589446,-0.017976081,0.295654981,0.313400048,0.336881351,1,0.538759168,0.595186734,0.552884216,0.301954682,-0.008022474,0.229256014,0.519816401,-0.367423025,-0.37834673,0.182368254,0.518609837,0.182746418,-0.085915839,0.019957401,-0.093604077
