CASEID,RESPONSE,RESIDUAL,TOTAL_INDEX_CRIME_RATES_PER_100K,YEAR,HYPODERMIC_SYRINGES_AND_NEEDLES_ARRESTS,MOTOR_VEHICLE_THEFT,HUMAN_TRAFFICKING_INVOLUNTARY_SERVITUDE,SEXUAL_ASSAULT,ARSON,TOTAL_DRUG_ARRESTS_PER_100K,BURGLARY,CANNABIS_ARRESTS,TOTAL_DRUG_PARAPHERNALIA,HUMAN_TRAFFICKING_SEX,THEFT,ROBBERY,HOMOCIDES,CONTROLLED_SUBSTANCE_ARRESTS,BATTERY_ASSAULT,TOTAL_METH_ARRESTS,LABOR_FORCE,EMPLOYED,UNEMPLOYMENT_RATE,PERCENT_HISPANIC_FEMALE,PERCENT_HISPANIC_MALE,PERCENT_TWO_OR_MORE_RACES_FEMALE,PERCENT_TWO_OR_MORE_RACES_MALE,PERCENT_NATIVE_HAWAIIN_FEMALE,PERCENT_NATIVE_HAWAIIN_MALE,PERCENT_ASAIN_FEMALE,PERCENT_ASAIN_MALE,PERCENT_AMERICAN_INDIAN_FEMALE,PERCENT_AMERICAN_INDIAN_MALE,PERCENT_BLACK_FEMALE,PERCENT_BLACK_MALE,PERCENT_WHITE_MALE,PERCENT_WHITE_FEMALE,POPULATION_PERCENT_MALE,COUNTY,TOTAL_DRUG_ARRESTS,POPULATION,TOTAL_INDEX_CRIMES_REPORTED,UNEMPLOYED,YEAR_,TOT_POP
64,562.971,-48.6707,514.3,2015,0,1,0,0,0,12.5,21,0,2,0,60,0,0,0,0,0,8233,7722,6.2,0.0118125,0.00971675,0.00406452,0.00520767,0.000127016,6.35082e-05,0.00260384,0.00146069,0.000317541,0.00107964,0.00273085,0.00349295,0.490283,0.493522,0.496634,"MERCER",2,15945,82,511,2015,15746
65,679.984,-116.584,563.4,2015,6,6,0,2,0,433,52,56,57,0,126,1,1,22,2,5,18106,17318,4.4,0.00755802,0.00690596,0.00411986,0.00406058,0.000148196,0.000207475,0.00376419,0.00207475,0.00109665,0.00112629,0.00154124,0.001808,0.490649,0.493287,0.496043,"MONROE",146,33722,190,788,2015,33739
66,1189.98,444.92,1634.9,2015,1,9,0,2,3,906,91,67,126,0,337,2,0,66,36,6,12020,11114,7.5,0.00568649,0.0108591,0.00445327,0.00376816,0.000137024,0.000239792,0.00243217,0.00181557,0.00102768,0.00123321,0.00250068,0.0313785,0.489072,0.465573,0.523876,"MONTGOMERY",266,29359,480,906,2015,29192
67,2033.18,31.0232,2064.2,2015,1,7,0,7,5,1027.8,112,128,122,0,530,4,1,52,55,56,16938,16093,5,0.00940213,0.0135264,0.0090272,0.00894067,8.65227e-05,0.00031725,0.00291293,0.00305713,0.00118248,0.00242263,0.0199002,0.0441554,0.453696,0.462781,0.50411,"MORGAN",359,34929,721,845,2015,34673
68,364.981,-243.681,121.3,2015,0,0,0,0,0,53.9,2,4,4,0,14,0,0,0,2,0,7377,7058,4.3,0.00583328,0.00691854,0.00393407,0.00434104,0,0.000203486,0.00149223,0.00135658,0.00122092,0.00122092,0.00183138,0.00264532,0.483891,0.501933,0.489588,"MOULTRIE",8,14837,18,319,2015,14743
69,925.964,-382.664,543.3,2015,9,11,0,3,2,551,53,128,128,0,197,2,0,22,15,0,25913,24325,6.1,0.0475766,0.0501367,0.00661378,0.00636164,0.000290929,0.0004073,0.00316143,0.00292868,0.00170678,0.0020365,0.00455789,0.0061483,0.484455,0.487306,0.496363,"OGLE",287,52085,283,1588,2015,51559
70,4105.63,-567.328,3538.3,2015,28,184,0,89,51,668.4,1322,615,321,0,4138,333,16,282,495,6,89959,83822,6.8,0.0224259,0.0232195,0.0142696,0.0143125,0.000300299,0.000235949,0.0186829,0.0209244,0.00168918,0.00204847,0.0974308,0.086116,0.375556,0.382066,0.485562,"PEORIA",1252,187319,6628,6137,2015,186481
71,1606.51,-697.505,909,2015,6,9,0,1,0,1065.9,25,77,80,0,134,1,1,53,26,15,8860,8232,7.1,0.00618001,0.0234655,0.0074346,0.00971145,0.000325264,0.000325264,0.00250918,0.00306677,0.00111519,0.00269504,0.00994378,0.0790855,0.462107,0.430835,0.547837,"PERRY",231,21672,197,628,2015,21521
72,977.864,14.1359,992,2015,0,1,0,4,1,584.3,43,37,48,0,93,0,0,10,21,1,8546,8128,4.9,0.00703364,0.00611621,0.00501529,0.00501529,0.000366972,0.000122324,0.00256881,0.00171254,0.000795107,0.00110092,0.002263,0.00293578,0.489419,0.493456,0.495535,"PIATT",96,16431,163,418,2015,16350
73,835.551,-61.6515,773.9,2015,0,2,0,1,0,755.2,19,55,53,0,92,3,0,12,7,1,7618,7226,5.1,0.00487496,0.00835708,0.00405191,0.00443178,0.000189934,0.000569801,0.00151947,0.00132953,0.000886356,0.0011396,0.00158278,0.0131054,0.485027,0.490345,0.501425,"PIKE",121,16022,124,392,2015,15795
74,1683.85,-1580.65,103.2,2015,0,0,0,0,0,51.6,2,1,2,0,2,0,0,0,2,0,2090,1906,8.8,0.0118437,0.0102528,0.0137882,0.0102528,0.000176772,0.000353544,0.00212127,0.000530316,0.00282835,0.00282835,0.166343,0.15114,0.328266,0.331271,0.483472,"PULASKI",3,5815,6,184,2015,5657
75,640.487,-262.087,378.4,2015,1,0,0,0,0,137.6,7,4,3,0,15,0,0,0,0,0,3042,2856,6.1,0.0225249,0.0281125,0.00488912,0.00523835,0.000174611,0,0.00226995,0.00104767,0.00226995,0.000698446,0.00279378,0.00523835,0.504976,0.475292,0.51231,"PUTNAM",8,5814,22,186,2015,5727
76,1005.26,-159.462,845.8,2015,31,7,0,11,2,1180.4,45,97,131,4,186,3,0,112,20,17,14311,13539,5.4,0.00740718,0.0228007,0.00536487,0.00627934,0.000213376,0.000487716,0.00207279,0.00195086,0.00118881,0.00146315,0.0142962,0.0914162,0.45766,0.423581,0.553283,"RANDOLPH",388,32869,278,772,2015,32806
77,1714.37,552.027,2266.4,2015,5,18,0,12,4,1077.1,52,54,57,0,253,1,0,13,24,44,7467,7032,5.8,0.00802156,0.00783355,0.00658018,0.00582816,0.000125337,6.26684e-05,0.00507614,0.00419878,0.00137871,0.00169205,0.00244407,0.00376011,0.48355,0.490882,0.493514,"RICHLAND",173,16061,364,435,2015,15957
78,2823.64,-176.843,2646.8,2015,25,92,0,59,18,935.2,577,674,421,0,2676,61,3,229,380,17,72613,68011,6.3,0.0615426,0.0632127,0.0134639,0.0139841,0.000232727,0.000205347,0.0117048,0.0131491,0.00297069,0.00273796,0.0497351,0.0545265,0.421859,0.42869,0.493203,"ROCK ISLAND",1366,146063,3866,4602,2015,146094
79,2635.28,362.125,2997.4,2015,96,428,0,153,62,793.7,1467,922,611,0,4344,315,32,451,1164,29,126230,117968,6.5,0.0187761,0.0201995,0.0118328,0.0111569,0.000562566,0.000490829,0.00839318,0.005418,0.00158198,0.00178586,0.164069,0.139535,0.334821,0.330456,0.483104,"ST. CLAIR",2109,265729,7965,8262,2015,264858
80,1996.57,392.527,2389.1,2015,7,30,0,3,7,617.6,181,27,22,0,305,4,2,40,56,56,10352,9555,7.7,0.008614,0.00832823,0.0094305,0.0100429,0.000163299,0.00061237,0.00371504,0.00257195,0.00224536,0.00212288,0.0152684,0.0249439,0.462421,0.475893,0.493284,"SALINE",152,24612,588,797,2015,24495
81,3962.05,6.35397,3968.4,2015,16,251,0,147,65,737.7,1388,619,373,1,4693,276,11,400,1065,60,103431,97990,5.3,0.0111615,0.0109604,0.0120313,0.0115889,0.000150831,0.000170942,0.0102364,0.00956772,0.00136754,0.00129212,0.0663506,0.0587487,0.41024,0.42923,0.480633,"SANGAMON",1468,198997,7897,5441,2015,198898
82,793.934,-411.934,382,2015,0,0,0,0,1,695.8,3,23,20,0,21,0,0,4,3,4,3483,3281,5.8,0.00755139,0.0124458,0.00279681,0.00293665,0,0,0.00251713,0.000839043,0.000839043,0.000978884,0.00769123,0.0290868,0.495175,0.459936,0.52622,"SCHUYLER",51,7330,28,202,2015,7151
83,733.902,-484.102,249.8,2015,0,1,0,0,0,76.9,5,2,2,0,6,0,0,0,1,0,2553,2403,5.9,0.00528376,0.00724071,0.00528376,0.00469667,0,0,0.00176125,0.000587084,0.000978474,0.00136986,0.00136986,0.00273973,0.483953,0.501761,0.488845,"SCOTT",4,5204,13,150,2015,5110
84,780.797,-345.397,435.4,2015,6,6,0,1,0,689.4,15,24,82,0,63,0,0,33,11,7,10247,9648,5.8,0.0052248,0.00462899,0.00375819,0.00384986,0.000137495,0.000229158,0.00183326,0.00160411,0.000824969,0.00137495,0.00109996,0.00242908,0.48884,0.49764,0.494706,"SHELBY",152,22048,96,599,2015,21819
85,1165.15,-236.153,929,2015,0,4,0,1,2,344.1,7,8,6,0,36,0,0,5,4,1,2763,2580,6.6,0.00799273,0.0058129,0.00653951,0.00653951,0,0,0.00326976,0.00163488,0.00127157,0.00127157,0.00381471,0.00290645,0.48356,0.495005,0.4901,"STARK",20,5813,54,183,2015,5505
86,2522.51,-614.506,1908,2015,0,14,0,19,9,536.2,158,104,90,0,631,14,1,39,40,16,21547,20132,6.6,0.0174083,0.0189848,0.0147806,0.01235,0.000175177,0.000262766,0.00359114,0.00302181,0.00131383,0.00122624,0.0506701,0.0470132,0.432163,0.445279,0.48419,"STEPHENSON",249,46435,886,1415,2015,45668
87,1533.38,291.121,1824.5,2015,8,63,0,66,8,848.9,439,442,508,0,1635,13,1,152,251,42,66829,62661,6.2,0.0102158,0.012107,0.00691725,0.0065524,0.000156364,0.000156364,0.00526425,0.00367828,0.00130303,0.00176468,0.00416971,0.00782565,0.478251,0.490142,0.492048,"TAZEWELL",1152,135707,2476,4168,2015,134302
88,1262.99,147.014,1410,2015,2,8,0,5,1,321,43,13,20,0,166,0,0,13,23,8,7357,6795,7.6,0.0214071,0.0278871,0.00717426,0.0087364,0.000289285,0.000115714,0.00242999,0.00185142,0.00242999,0.0037607,0.00393427,0.00717426,0.484263,0.485709,0.498033,"UNION",56,17447,246,562,2015,17284
89,3445.06,952.442,4397.5,2015,0,102,0,96,15,545.6,981,120,75,0,1794,96,0,177,422,63,35349,32854,7.1,0.0220791,0.0258052,0.01157,0.0114311,0.000113679,0.000176835,0.00495137,0.00367564,0.00198307,0.00176835,0.0650878,0.0710749,0.419351,0.419768,0.496526,"VERMILION",435,79728,3506,2495,2015,79170
90,1410.31,52.9852,1463.3,2015,7,2,0,0,5,1186.2,35,33,76,0,103,0,0,12,24,9,5625,5309,5.6,0.00868892,0.0131624,0.00516173,0.00748451,8.60289e-05,0.000344116,0.00438747,0.00628011,0.00111838,0.0012044,0.00283895,0.00464556,0.485633,0.488042,0.498365,"WABASH",137,11549,169,316,2015,11624
91,1099.72,394.084,1493.8,2015,1,3,0,9,1,525.9,50,46,37,0,169,4,0,10,31,0,8569,8125,5.2,0.0435405,0.049556,0.0081352,0.00824979,0.000630192,0.000859353,0.00939559,0.0142653,0.00189058,0.0029218,0.0120882,0.0160985,0.459181,0.474133,0.493727,"WARREN",94,17874,267,444,2015,17455
92,800.244,845.856,1646.1,2015,2,7,0,0,1,460.3,31,20,22,0,118,0,0,16,79,6,9360,9008,3.8,0.00729211,0.00715187,0.00420698,0.00610013,7.01164e-05,0.000140233,0.00252419,0.00196326,0.00077128,0.00119198,0.00350582,0.0051185,0.493058,0.487169,0.501753,"WASHINGTON",66,14337,236,352,2015,14262
93,1067.94,-70.5392,997.4,2015,1,3,0,5,0,586.4,33,29,23,0,97,0,0,17,27,27,7504,6990,6.8,0.00672035,0.00690198,0.0042986,0.00514621,0.000121087,6.05437e-05,0.00351153,0.00254283,0.00133196,0.00127142,0.00314827,0.00284555,0.486408,0.493976,0.493613,"WAYNE",97,16543,165,514,2015,16517
94,689.281,576.919,1266.2,2015,1,9,0,1,3,250.5,38,14,8,0,100,0,0,8,31,5,6932,6537,5.7,0.00563222,0.00760349,0.00429457,0.00464658,0.000140805,0.000352014,0.0026049,0.00126725,0.00154886,0.00232329,0.00168966,0.00478738,0.478809,0.50183,0.487891,"WHITE",36,14374,182,395,2015,14204
95,1541.53,174.471,1716,2015,7,18,0,30,2,478.2,179,133,58,0,675,10,0,74,62,0,28529,26774,6.2,0.0573798,0.0604895,0.00820464,0.00776542,0.000122982,0.000175688,0.00296913,0.00216097,0.00187986,0.00267046,0.00781813,0.00950474,0.479278,0.484741,0.494264,"WHITESIDE",272,56876,976,1755,2015,56919
96,1839.42,-351.116,1488.3,2015,141,358,0,164,83,549.6,1877,1746,1187,0,6848,228,18,685,625,8,356715,334626,6.2,0.0811749,0.0849613,0.00906576,0.00919261,0.000249316,0.00026098,0.0285226,0.0260892,0.00205139,0.00222197,0.0600487,0.0578894,0.409266,0.403667,0.496395,"WILL",3767,685419,10201,22089,2015,685877
97,1497.05,-338.951,1158.1,2015,3,45,0,13,3,235.8,205,57,22,0,471,8,3,60,28,16,31940,29977,6.1,0.0111823,0.0143709,0.00852762,0.00796405,0.000103814,0.000118645,0.00665896,0.00452334,0.00155722,0.00246189,0.0173073,0.0263244,0.463146,0.46887,0.496975,"WILLIAMSON",158,67008,776,1963,2015,67428
98,3676.93,125.271,3802.2,2015,77,618,0,197,68,534.1,1958,715,369,0,5635,563,22,378,1910,2,142004,132098,7,0.0595547,0.0614074,0.0132023,0.0131883,0.000247259,0.000247259,0.014059,0.0132475,0.00261538,0.00267458,0.0679615,0.0630511,0.408525,0.413442,0.488473,"WINNEBAGO",1541,288542,10971,9906,2015,287148
99,1128.53,-475.225,653.3,2015,1,6,0,5,0,770.7,35,132,110,0,186,0,0,59,24,0,19570,18583,5,0.00775751,0.00935012,0.00606216,0.00567686,0.000154123,0.000154123,0.00380169,0.00321089,0.00133573,0.00131004,0.00267146,0.00321089,0.488569,0.489237,0.496738,"WOODFORD",302,39187,256,987,2015,38930
100,2302.09,249.907,2552,2016,5,47,0,55,9,789.1,350,139,192,0,1099,23,1,76,156,126,32483,30936,4.8,0.00737119,0.00797292,0.00922151,0.00952238,0.000165476,0.000135389,0.0047988,0.00365551,0.00115833,0.00153441,0.0185333,0.0195111,0.464912,0.475953,0.490169,"ADAMS",538,68182,1740,1547,2016,66475
101,1857.88,624.617,2482.5,2016,0,6,0,0,3,617.7,36,25,11,0,90,4,0,13,74,4,2205,1999,9.3,0.0102183,0.0082056,0.012231,0.00990866,0.000774114,0.000774114,0.0013934,0.000774114,0.0020127,0.00263199,0.176033,0.15281,0.324199,0.326057,0.481499,"ALEXANDER",53,8580,213,206,2016,6459
102,1107.98,-57.9758,1050,2016,8,6,0,0,0,730,35,25,39,0,140,0,0,32,6,26,7878,7475,5.1,0.00967001,0.0246585,0.00574157,0.00809863,6.04376e-05,0.000181313,0.00211531,0.00471413,0.00271969,0.00362625,0.0152303,0.0452677,0.467545,0.451892,0.522241,"BOND",130,17809,187,403,2016,16546
103,1631.85,-711.253,920.6,2016,16,18,0,31,9,1243.7,67,302,313,0,363,5,0,111,57,1,26325,24648,6.4,0.101643,0.110846,0.0101176,0.011387,0.000410678,0.000560015,0.00772821,0.00632817,0.00349076,0.00354676,0.0123203,0.0133284,0.47493,0.466791,0.499141,"BOONE",743,59742,550,1677,2016,53570
104,211.408,119.992,331.4,2016,0,0,0,0,0,220.9,1,8,7,0,13,0,0,1,10,0,2856,2760,3.4,0.00542414,0.0595148,0.00241073,0.0051228,0.000301341,0,0.00135603,0.00210939,0.000452011,0.0117523,0.00165737,0.183065,0.444026,0.351062,0.64276,"BROWN",16,7243,24,96,2016,6637
105,984.707,35.493,1020.2,2016,2,11,0,5,3,201.4,99,28,36,0,230,1,0,10,36,0,17374,16324,6,0.0429992,0.0471613,0.00634807,0.00709666,0.000209606,0.000179662,0.0059588,0.00341358,0.00236555,0.0019164,0.00461133,0.00476105,0.480087,0.489789,0.490717,"BUREAU",76,37737,385,1050,2016,33396
106,1174.29,340.011,1514.3,2016,1,8,0,2,0,458.5,40,28,25,0,159,0,0,4,9,8,7865,7420,5.7,0.0173335,0.0177446,0.00671417,0.00719375,0.000274048,6.85119e-05,0.00322006,0.00280899,0.00212387,0.00226089,0.00417923,0.00623458,0.488421,0.483215,0.500274,"CARROLL",66,14396,218,445,2016,14596
107,1257,652.201,1909.2,2016,2,1,0,2,0,751.9,41,37,34,0,151,1,0,11,63,18,6213,5866,5.6,0.0838068,0.100773,0.00647096,0.0056029,0.000552399,0.000236742,0.00339331,0.00236742,0.00236742,0.00410354,0.0190183,0.0288826,0.468355,0.464015,0.504182,"CASS",102,13566,259,347,2016,12672
108,3877.06,-555.058,3322,2016,29,220,0,128,26,489.2,1444,497,253,4,4260,211,11,226,681,23,107398,102018,5,0.0275074,0.0307377,0.0140915,0.0140534,0.000413895,0.00060895,0.0506285,0.0568179,0.00159373,0.00200763,0.0696962,0.0634497,0.375884,0.363795,0.499781,"CHAMPAIGN",1028,210146,6981,5380,2016,210198
109,894.303,-53.2028,841.1,2016,9,7,0,10,0,496.8,53,39,76,0,207,1,0,28,20,24,15291,14315,6.4,0.00613903,0.00990069,0.00481493,0.00520614,0.000210653,0.00018056,0.00331026,0.00264821,0.00129401,0.00117364,0.00240746,0.0134818,0.491273,0.478905,0.509058,"CHRISTIAN",176,35428,298,976,2016,33230
110,918.293,-303.493,614.8,2016,0,5,0,0,3,535.7,16,23,34,0,63,2,1,11,11,20,8162,7687,5.8,0.00643249,0.00889197,0.00435139,0.00510815,0.000189191,0.000126127,0.00264867,0.000945954,0.00119821,0.00107208,0.00220723,0.0027748,0.489374,0.494734,0.494671,"CLARK",88,16427,101,475,2016,15857
111,956.037,8.16256,964.2,2016,0,4,0,0,0,345.3,41,18,20,0,93,1,0,8,9,7,6705,6247,6.8,0.00608382,0.00788644,0.00465675,0.0050323,0,0,0.00525762,0.00292925,0.00150218,0.00120174,0.00210305,0.00247859,0.488283,0.491362,0.495118,"CLAY",53,15349,148,458,2016,13314
112,818.196,193.504,1011.7,2016,9,13,0,3,1,387.7,28,48,57,0,308,3,0,26,38,11,20450,19537,4.5,0.0121546,0.0192824,0.00595761,0.00574483,0.000292561,0.00037235,0.00359052,0.00172877,0.00164898,0.0022607,0.00518631,0.0309317,0.48355,0.464188,0.519136,"CLINTON",151,38946,394,913,2016,37599
113,1482.51,52.0891,1534.6,2016,6,13,0,16,8,465.9,138,53,73,0,497,21,1,61,136,59,24523,23075,5.9,0.012282,0.0122627,0.00830388,0.0076473,0.000173802,0.000965568,0.00581272,0.00507889,0.00133248,0.0011973,0.0205087,0.0192341,0.45737,0.479347,0.484522,"COLES",252,54084,830,1448,2016,51783
114,3986.63,-762.827,3223.8,2016,139,14334,1,2219,1340,569.9,21648,13552,3886,12,96189,13887,838,12095,17933,93,2.66074e+06,2.50002e+06,6,0.123468,0.127913,0.00967388,0.00943347,0.000357945,0.000379574,0.0389092,0.0358136,0.00356279,0.0037856,0.131769,0.110064,0.333977,0.330515,0.485212,"COOK",29765,5.22323e+06,168388,160716,2016,5.22427e+06
115,1225.56,16.5353,1242.1,2016,2,8,0,3,3,836.7,40,38,48,0,137,0,0,23,48,50,9026,8463,6.2,0.0073172,0.0148435,0.00496524,0.00538337,0.000156797,0.000313594,0.0036586,0.00240422,0.00162024,0.00177703,0.00324048,0.0462029,0.46966,0.465688,0.520671,"CRAWFORD",161,19242,239,563,2016,19133
116,716.044,-100.944,615.1,2016,0,2,0,3,0,282.6,25,11,16,0,38,0,0,3,6,4,5981,5670,5.2,0.00570482,0.00496872,0.00450865,0.0048767,0.000460066,9.20132e-05,0.00395657,0.00202429,0.00101215,0.000920132,0.00211631,0.00266838,0.494939,0.486934,0.501012,"CUMBERLAND",34,12030,74,311,2016,10868
117,2056.09,352.615,2408.7,2016,15,47,0,82,19,1162.3,283,577,363,0,1865,42,5,253,177,8,55182,52231,5.3,0.0535742,0.0554862,0.0102133,0.0093774,0.00033628,0.000355496,0.0138739,0.0134032,0.00200807,0.00226749,0.0414008,0.0343101,0.444687,0.436472,0.495696,"DEKALB",1216,104619,2520,2951,2016,104080
118,886.863,21.837,908.7,2016,1,6,0,2,0,390.9,30,14,49,0,102,1,0,12,38,1,10282,9797,4.7,0.0328991,0.0393876,0.00582957,0.00588027,0,5.06919e-05,0.00324428,0.0037512,0.00131799,0.00192629,0.00294013,0.00385259,0.485984,0.490698,0.49597,"DOUGLAS",77,19699,179,485,2016,19727
119,859.63,521.37,1381,2016,75,438,0,135,44,557.3,1302,2739,1669,0,10300,248,4,706,404,7,516207,491840,4.7,0.0689864,0.0722573,0.00959027,0.00981255,0.000251274,0.000265233,0.0612581,0.0579067,0.00198012,0.0019565,0.0274822,0.0239623,0.406153,0.408426,0.491012,"DUPAGE",5196,932316,12875,24367,2016,931256
120,1918.71,-735.315,1183.4,2016,8,11,0,1,2,1585.2,79,22,82,0,81,1,0,57,40,119,9706,9124,6,0.00599349,0.00542268,0.00445231,0.00410982,5.70809e-05,0.000171243,0.00205491,0.00125578,0.0011987,0.0011987,0.00251156,0.00313945,0.481135,0.50254,0.487185,"EDGAR",288,18168,215,582,2016,17519
121,885.391,-578.391,307,2016,0,0,0,0,0,263.1,10,5,7,0,9,1,0,3,1,3,2972,2799,5.8,0.00504896,0.00810893,0.00550796,0.00566095,0,0,0.00244798,0.00137699,0.00168299,0.00122399,0.00260098,0.00290698,0.486689,0.49541,0.49235,"EDWARDS",18,6841,21,173,2016,6536
122,1276.59,499.606,1776.2,2016,9,14,0,11,2,1034.7,106,109,138,0,456,3,0,42,38,69,18687,17804,4.7,0.00916008,0.0106234,0.00418496,0.00427275,0.000263389,5.85309e-05,0.00336552,0.00383377,0.00119988,0.00131694,0.00199005,0.00269242,0.489172,0.49163,0.497366,"EFFINGHAM",367,35468,630,883,2016,34170
123,1289.45,-268.152,1021.3,2016,8,10,0,8,1,783.3,56,47,58,0,142,0,0,26,19,42,9753,9110,6.6,0.00560964,0.0114047,0.00560964,0.00611961,0.000139082,9.27214e-05,0.00203987,0.0015299,0.00120538,0.00134446,0.00162262,0.0420028,0.48025,0.463792,0.525591,"FAYETTE",181,23107,236,643,2016,21570
124,1316.99,260.908,1577.9,2016,0,11,0,9,10,611.7,44,31,39,0,123,3,0,14,27,4,6653,6292,5.4,0.0147543,0.0170761,0.00704014,0.00591672,0.000224685,7.48951e-05,0.00277112,0.00202217,0.00112343,0.00224685,0.0030707,0.00696525,0.479329,0.494682,0.491087,"FORD",88,14386,227,361,2016,13352
125,1673.43,-96.3323,1577.1,2016,10,22,0,2,3,816,179,29,130,0,387,5,1,94,33,64,16692,15340,8.1,0.00765195,0.00818938,0.00632118,0.00665387,0.000102367,5.11836e-05,0.00248241,0.00166347,0.00225208,0.00161228,0.00245681,0.00345489,0.487063,0.492207,0.494178,"FRANKLIN",327,40074,632,1352,2016,39075
126,1021.31,-35.4099,985.9,2016,3,10,0,4,5,534.2,101,78,89,0,248,7,1,37,19,7,15803,14635,7.4,0.00623009,0.0230034,0.00465142,0.00518704,0,0.000140952,0.00163505,0.00160686,0.00166324,0.0050179,0.00310095,0.0357455,0.475911,0.469907,0.519043,"FULTON",214,40063,395,1168,2016,35473
127,1235.31,-518.915,716.4,2016,3,2,0,0,0,213.4,8,3,4,0,29,1,0,3,7,1,2534,2342,7.6,0.00659298,0.0100834,0.00795036,0.0052356,0,0,0.000581734,0.000387822,0.00116347,0.00193911,0.00271476,0.00407214,0.476246,0.504557,0.483033,"GALLATIN",14,6561,47,192,2016,5157
128,1492.27,-334.57,1157.7,2016,15,0,0,6,2,1469.4,42,23,60,0,81,0,0,76,25,24,6070,5716,5.8,0.00487693,0.00640097,0.0037339,0.00449592,7.62021e-05,7.62021e-05,0.000990627,0.000990627,0.00121923,0.00137164,0.00198125,0.0100587,0.491275,0.48777,0.504229,"GREENE",198,13475,156,354,2016,13123
129,1212.73,-154.029,1058.7,2016,29,13,0,9,3,945.2,77,186,187,0,439,4,0,104,24,2,25722,23999,6.7,0.0459089,0.0502017,0.00622056,0.00655842,0.000357732,0.000158992,0.00455115,0.0038953,0.0015303,0.00182841,0.00751237,0.00804897,0.484985,0.480494,0.499334,"GRUNDY",508,53744,569,1723,2016,50317
130,647.665,-253.365,394.3,2016,0,3,0,0,1,58,7,0,2,0,19,0,0,2,4,1,4257,3990,6.3,0.00842902,0.00830687,0.00525287,0.00415343,0,0.00012216,0.00219888,0.000977278,0.00219888,0.00219888,0.0018324,0.00476423,0.479599,0.500244,0.488273,"HAMILTON",5,8622,34,267,2016,8186
131,1214.46,-336.56,877.9,2016,3,5,0,1,1,613.5,59,33,31,0,89,2,0,19,9,30,8829,8253,6.5,0.00730569,0.00708596,0.00620709,0.00527328,0.00038451,0.00038451,0.0021972,0.00159297,0.00186762,0.00120846,0.00252678,0.00296622,0.49036,0.48981,0.497006,"HANCOCK",116,18909,166,576,2016,18205
132,1486.46,-755.664,730.8,2016,0,5,0,0,0,835.2,6,34,6,0,25,0,0,4,6,4,1399,1263,9.7,0.0102731,0.00851917,0.00776748,0.00601353,0.000751691,0.000501128,0.00250564,0.00250564,0.00451015,0.0027562,0.00225507,0.00300676,0.495365,0.477575,0.504635,"HARDIN",48,5747,42,136,2016,3991
133,1464.51,-38.3057,1426.2,2016,5,14,0,15,0,732.2,105,145,141,0,531,4,1,46,39,27,25215,23692,6,0.0263041,0.0294153,0.00747505,0.00731343,0.00014142,0.000161623,0.00270718,0.0021213,0.00153542,0.0014546,0.00719221,0.0106065,0.484888,0.481373,0.499576,"HENRY",364,49711,709,1523,2016,49498
134,1241.34,190.064,1431.4,2016,8,20,0,8,3,471,106,43,53,0,298,6,1,39,23,10,14795,13980,5.5,0.032596,0.0356496,0.00692398,0.00717253,0.000213045,0.000106523,0.00347974,0.00252104,0.00152683,0.0018819,0.00390583,0.00667542,0.478394,0.493981,0.489969,"IROQUOIS",153,32486,465,815,2016,28163
135,2897.13,287.669,3184.8,2016,10,41,0,48,7,1021,343,271,177,0,1307,46,4,125,141,38,28679,27133,5.4,0.0214385,0.0214215,0.0143207,0.0139972,0.000425706,0.000476791,0.0176923,0.0191397,0.0028948,0.00270749,0.0803222,0.0689303,0.406668,0.385179,0.499166,"JACKSON",621,60820,1937,1546,2016,58726
136,453.009,238.791,691.8,2016,0,1,0,0,0,73.4,21,2,2,0,44,0,0,3,0,0,4647,4355,6.3,0.00782636,0.00720025,0.00323489,0.00302619,0.000208703,0,0.00240008,0.00104352,0.000939163,0.00125222,0.000626109,0.00166962,0.496504,0.492017,0.500574,"JASPER",7,9540,66,292,2016,9583
137,2604.99,643.91,3248.9,2016,6,20,0,23,17,1203.4,266,108,133,0,705,24,1,123,194,93,17568,16442,6.4,0.00942063,0.0163553,0.00957764,0.00973465,0.000183179,0.000157011,0.00570472,0.00544303,0.00159627,0.00177945,0.0354059,0.0546658,0.452766,0.432171,0.515361,"JEFFERSON",463,38474,1250,1126,2016,38214
138,2119.81,-314.507,1805.3,2016,57,12,0,18,0,1853.3,90,69,148,0,276,0,0,122,18,29,11055,10410,5.8,0.00719916,0.006379,0.00647013,0.0058778,9.11286e-05,0.000227822,0.00633344,0.00154919,0.00145806,0.00214152,0.00337176,0.00405522,0.477924,0.495694,0.486581,"JERSEY",425,22932,414,645,2016,21947
139,1026.84,-34.1433,992.7,2016,3,16,0,6,2,921.2,38,89,84,0,133,2,0,16,25,14,11376,10764,5.4,0.0138902,0.0160447,0.00412579,0.00495095,0.000137526,0.000320895,0.0029339,0.00178784,0.00123774,0.00165032,0.00307142,0.00343816,0.491473,0.489365,0.499129,"JO DAVIESS",206,22363,222,612,2016,21814
