County,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,YEAR,TOT_POP
FORD,1.360041393,1.596570330,0.613496933,0.569147757,0.022174588,0.007391529,0.258703526,0.199571291,0.103481410,0.221745879,0.303052702,0.650454579,48.163204967,49.412373420,49.286717422,2015,13529
FORD,1.475434392,1.707609347,0.704014380,0.591671660,0.022468544,0.007489515,0.277112043,0.202216896,0.112342720,0.224685440,0.307070102,0.696524865,47.932893948,49.468244458,49.108747753,2016,13352
FORD,1.684463829,1.714543540,0.676793503,0.661753647,0.022559783,0.007519928,0.323356896,0.195518123,0.127838773,0.195518123,0.338396751,0.669273575,47.947059708,49.436005414,49.075048880,2017,13298
FORD,1.650015138,1.816530427,0.756887678,0.666061157,0.030275507,0.007568877,0.333030578,0.204359673,0.166515289,0.211928550,0.317892825,0.756887678,48.138056312,49.038752649,49.356645474,2018,13212
FORD,1.782269887,1.928863514,0.732968135,0.748399043,0.038577270,0.030861816,0.362626341,0.192886351,0.154309081,0.216032714,0.331764524,0.740683589,48.129002392,48.969986884,49.409767765,2019,12961
FRANKLIN,0.771906660,0.863316659,0.591625828,0.611939162,0.010156667,0.002539167,0.266612498,0.167584999,0.238681665,0.172663332,0.233603331,0.284386664,48.607267095,49.391869588,49.267450423,2015,39383
FRANKLIN,0.765195138,0.818937940,0.632117722,0.665387076,0.010236724,0.005118362,0.248240563,0.166346769,0.225207933,0.161228407,0.245681382,0.345489443,48.706333973,49.220729367,49.417786308,2016,39075
FRANKLIN,0.879599949,0.897550968,0.646236697,0.677009873,0.010257725,0.007693294,0.241056546,0.148737018,0.243620977,0.179510194,0.271829722,0.320553917,48.616489293,49.283241441,49.303756892,2017,38995
FRANKLIN,0.855407675,0.863160615,0.677090063,0.708101822,0.010337253,0.007752940,0.232588190,0.155058793,0.230003876,0.165396046,0.268768575,0.335960718,48.649696343,49.246672697,49.334539346,2018,38695
FRANKLIN,0.852634589,0.870831059,0.704463334,0.725259300,0.010397983,0.007798487,0.241753100,0.161168733,0.233954613,0.166367725,0.254750578,0.356130911,48.514388209,49.315032884,49.239647508,2019,38469
FULTON,0.641223084,2.237280542,0.476017137,0.509618346,0,0.016800605,0.148405343,0.156805645,0.154005544,0.481617338,0.285610282,3.556128021,47.789320416,46.870887352,52.065074343,2015,35713
FULTON,0.623009049,2.300341105,0.465142503,0.518704367,0,0.014095227,0.163504637,0.160685592,0.166323683,0.501790094,0.310095002,3.574549657,47.591125645,46.990668959,51.904265216,2016,35473
FULTON,0.658044667,2.384343665,0.489972653,0.549794895,0,0.011394713,0.170920693,0.168072015,0.162374658,0.504216044,0.321900638,3.620670009,47.678327256,46.809480401,52.045350957,2017,35104
FULTON,0.654608096,2.457651450,0.502440425,0.531151306,0,0.011484353,0.172265289,0.166523112,0.155038760,0.519666954,0.301464255,3.674992822,47.616996842,46.830318691,52.038472581,2018,34830
FULTON,0.678509027,2.451951077,0.497961561,0.550378567,0.002912056,0.017472335,0.154338963,0.157251019,0.154338963,0.541642400,0.337798486,3.739079790,47.550960978,46.779266162,52.073383809,2019,34340
GALLATIN,0.727829918,1.072591458,0.823597012,0.555449148,0,0,0.057460257,0.038306838,0.134073932,0.210687608,0.229841027,0.363914959,47.711166443,50.411798506,48.343229266,2015,5221
GALLATIN,0.659298041,1.008338181,0.795035874,0.523560209,0,0,0.058173357,0.038782238,0.116346713,0.193911189,0.271475664,0.407213496,47.624587939,50.455691293,48.303277099,2016,5157
GALLATIN,0.591599290,0.966278840,0.847958982,0.591599290,0,0,0.039439953,0.039439953,0.138039834,0.197199763,0.197199763,0.453559456,47.958982449,50.069019917,48.708341550,2017,5071
GALLATIN,0.654112983,1.070366700,1.070366700,0.634291378,0,0,0.138751239,0.099108028,0.198216056,0.237859267,0.198216056,0.475718533,48.007928642,49.514370664,48.880079286,2018,5045
GALLATIN,0.559237780,1.035625518,1.077050539,0.745650373,0,0,0.144987572,0.103562552,0.207125104,0.248550124,0.207125104,0.497100249,48.156586578,49.316487158,49.047224524,2019,4828
GREENE,0.472086924,0.689396778,0.344698389,0.412139378,0.007493443,0.007493443,0.104908205,0.104908205,0.112401649,0.112401649,0.202322967,1.004121394,49.082053203,48.879730236,50.348445111,2015,13345
GREENE,0.487693363,0.640097539,0.373390231,0.449592319,0.007620209,0.007620209,0.099062714,0.099062714,0.121923341,0.137163758,0.198125429,1.005867561,49.127486093,48.776956489,50.422921588,2016,13123
GREENE,0.501672241,0.706901794,0.402858012,0.448464579,0.007601095,0.007601095,0.106415324,0.136819702,0.152021891,0.136819702,0.220431742,1.048951049,49.057464275,48.692611736,50.418060201,2017,13156
GREENE,0.551090700,0.742441638,0.413318025,0.420972063,0.007654038,0.007654038,0.122464600,0.145426713,0.145426713,0.137772675,0.237275163,1.109835438,48.970531956,48.687332568,50.386528894,2018,13065
GREENE,0.601434189,0.693962526,0.400956126,0.400956126,0.007710695,0.007710695,0.100239032,0.146503200,0.169635284,0.146503200,0.246742231,1.079497263,49.171100316,48.523401959,50.551314673,2019,12969
GRUNDY,4.447709628,4.844826559,0.593689812,0.623473582,0.025812601,0.011913508,0.434843040,0.357405238,0.150904434,0.178702619,0.730695153,0.742608661,48.513789885,48.227865695,49.836189266,2015,50363
GRUNDY,4.590893734,5.020172109,0.622056164,0.655841962,0.035773198,0.015899199,0.455114574,0.389530377,0.153029791,0.182840789,0.751237156,0.804896953,48.498519387,48.049367013,49.933422104,2016,50317
GRUNDY,4.756825096,5.157836514,0.624234523,0.632136225,0.047410217,0.017778831,0.489905575,0.414839398,0.171862036,0.193591719,0.764489748,0.853383904,48.277428786,48.107542175,49.794555727,2017,50622
GRUNDY,4.884939085,5.289074608,0.659172503,0.665057972,0.058854688,0.023541875,0.484570263,0.400211877,0.172640417,0.174602240,0.855354796,0.916171306,48.298118612,47.919486787,49.849920546,2018,50973
GRUNDY,5.053472794,5.468719395,0.677713793,0.660085400,0.068554863,0.021545814,0.454420809,0.366278842,0.178242645,0.182160066,0.887295804,0.922552591,48.258706468,47.947271516,49.786500568,2019,51054
HAMILTON,0.788069835,0.872938894,0.630455868,0.400096993,0,0.012124151,0.218234724,0.096993210,0.206110572,0.206110572,0.157613967,0.412221145,47.999515034,50.036372454,48.751212415,2015,8248
HAMILTON,0.842902516,0.830686538,0.525287075,0.415343269,0,0.012215978,0.219887613,0.097727828,0.219887613,0.219887613,0.183239677,0.476423161,47.959931591,50.024431957,48.827266064,2016,8186
HAMILTON,0.794523897,0.867864564,0.562278450,0.415597115,0,0.012223445,0.220022002,0.097787557,0.183351669,0.232245447,0.171128224,0.378926782,47.940349591,50.140569613,48.722650043,2017,8181
HAMILTON,0.846833579,0.920471281,0.576828670,0.454099165,0,0.012272950,0.257731959,0.098183603,0.184094256,0.245459008,0.282277860,0.405007364,48.060873834,49.852724595,48.846342661,2018,8148
HAMILTON,0.850172499,1.034992607,0.529817644,0.505174963,0,0.012321341,0.258748152,0.110892065,0.184820108,0.234105471,0.234105471,0.406604239,48.238048300,49.790537210,49.001971414,2019,8116
HANCOCK,0.702678964,0.752086078,0.592885375,0.581906017,0.065876153,0.038427756,0.203118138,0.164690382,0.175669741,0.120772947,0.192138779,0.285463329,48.967940272,49.171058410,49.599253404,2015,18216
HANCOCK,0.730568525,0.708596539,0.620708597,0.527327657,0.038450975,0.038450975,0.219719857,0.159296896,0.186761879,0.120845921,0.252677836,0.296621807,49.035979127,48.981049162,49.700631695,2016,18205
HANCOCK,0.712774251,0.723911349,0.595834725,0.501169395,0.038979842,0.038979842,0.239447600,0.194899209,0.194899209,0.150350819,0.261721795,0.295133088,48.941975721,49.008798307,49.660318521,2017,17958
HANCOCK,0.762844963,0.830154813,0.572133722,0.493605564,0.044873233,0.044873233,0.196320395,0.196320395,0.201929549,0.173883778,0.291676015,0.308503478,48.956697330,49.001570563,49.691496522,2018,17828
HANCOCK,0.762367292,0.807544613,0.615540998,0.468714705,0.045177321,0.045177321,0.186356449,0.192003614,0.197650779,0.158120623,0.310594082,0.333182742,48.718093517,49.186808222,49.457872148,2019,17708
HARDIN,0.958937792,0.762232604,0.540939267,0.491762970,0.073764446,0.049176297,0.245881485,0.221293337,0.417998525,0.270469634,0.245881485,0.295057782,49.397590361,48.217359233,50.258175559,2015,4067
HARDIN,1.027311451,0.851916813,0.776747682,0.601353044,0.075169131,0.050112754,0.250563768,0.250563768,0.451014783,0.275620145,0.225507392,0.300676522,49.536457028,47.757454272,50.463542972,2016,3991
HARDIN,1.249362570,0.917899031,0.764915859,0.458949516,0.076491586,0.050994391,0.280469148,0.254971953,0.458949516,0.356960734,0.229474758,0.254971953,49.235084141,47.985721571,50.203977562,2017,3922
HARDIN,1.284356537,0.950423838,0.770613922,0.539429746,0.077061392,0.051374261,0.231184177,0.231184177,0.436681223,0.282558438,0.256871307,0.256871307,49.576162343,47.778063190,50.449524788,2018,3893
HARDIN,1.465584925,0.968332897,0.811305941,0.601936666,0.078513478,0.052342319,0.261711594,0.235540434,0.418738550,0.287882753,0.209369275,0.235540434,49.777545145,47.631510076,50.588851086,2019,3821
HENDERSON,0.957553237,0.686008289,0.543089896,0.500214378,0.042875518,0.042875518,0.314420466,0.114334715,0.157210233,0.157210233,0.128626554,0.185793912,48.549378305,49.764184651,49.049592683,2015,6997
HENDERSON,0.958466454,0.711588731,0.566366541,0.508277665,0.029044438,0.043566657,0.334011037,0.072611095,0.130699971,0.159744409,0.116177752,0.188788847,48.693000290,49.636944525,49.186755736,2016,6886
HENDERSON,1.026543481,0.821234785,0.571931368,0.557266461,0.029329814,0.043994721,0.351957765,0.073324534,0.131984162,0.161313976,0.146649069,0.219973603,48.218213814,50.021997360,48.746150462,2017,6819
HENDERSON,1.164700612,0.866059430,0.627146484,0.552486188,0.029864118,0.044796177,0.373301478,0.089592355,0.134388532,0.164252650,0.194116769,0.194116769,48.454531880,49.678960729,48.962221890,2018,6697
HENDERSON,1.068311766,0.782425519,0.692145652,0.601865784,0.030093289,0.045139934,0.391212760,0.090279868,0.135419801,0.195606380,0.376166115,0.240746314,48.028889558,49.759253686,48.615708697,2019,6646
HENRY,2.550465369,2.838551110,0.721221645,0.693017446,0.012087514,0.012087514,0.286071155,0.207502317,0.151093920,0.132962650,0.733309158,1.027438656,48.446754503,48.247310528,49.848906080,2015,49638
HENRY,2.630409309,2.941532991,0.747504950,0.731342681,0.014141986,0.016162269,0.270718009,0.212129783,0.153541557,0.145460423,0.719220979,1.060648915,48.488827831,48.137298477,49.957574043,2016,49498
HENRY,2.651415104,2.980556289,0.786281720,0.763932628,0.012190414,0.016253886,0.276316057,0.195046628,0.154411914,0.140189764,0.755805685,1.119486377,48.363436884,48.139945956,49.875048254,2017,49219
HENRY,2.808290367,3.124172084,0.776457641,0.754040229,0.014265626,0.016303573,0.271046893,0.199718763,0.165073672,0.150808046,0.802950947,1.145325970,48.285067966,48.142411706,49.827793515,2018,49069
HENRY,2.839735858,3.146402797,0.817778505,0.752356224,0.012266678,0.016355570,0.271911353,0.198311287,0.159466808,0.169689040,0.828000736,1.153067692,48.316398503,48.021998242,49.888577679,2019,48913
IROQUOIS,3.180001402,3.509571559,0.634597854,0.606549330,0.021036393,0.003506065,0.343594418,0.213869995,0.147254751,0.171797209,0.424233925,0.645116051,47.801696936,49.568753944,48.860528715,2015,28522
IROQUOIS,3.259595924,3.564961119,0.692397827,0.717253134,0.021304549,0.010652274,0.347974293,0.252103824,0.152682598,0.188190179,0.390583390,0.667542520,47.839363704,49.398146504,48.996910840,2016,28163
IROQUOIS,3.297692335,3.657702416,0.720020161,0.734420564,0.021600605,0.003600101,0.363610181,0.255607157,0.165604637,0.201605645,0.392410988,0.738020665,47.823739065,49.274579688,49.062173741,2017,27777
IROQUOIS,3.438364139,3.714888662,0.720419153,0.720419153,0.021830883,0.010915442,0.338378693,0.229224276,0.167370106,0.192839470,0.422063746,0.702226750,47.922427594,49.243196041,49.086741377,2018,27484
IROQUOIS,3.518477539,3.776646751,0.693368739,0.745002582,0.022128790,0.011064395,0.324555580,0.236040422,0.177030316,0.202847238,0.424135133,0.796636424,47.949398835,49.125912813,49.232868629,2019,27114
JACKSON,2.075522680,2.165028541,1.398317965,1.391562806,0.038842166,0.045597325,1.781673253,1.953929814,0.298915797,0.258384841,7.967710339,6.962880400,40.848448002,38.330462391,50.184078090,2015,59214
JACKSON,2.143854511,2.142151687,1.432074379,1.399720737,0.042570582,0.047679052,1.769233389,1.913973368,0.289479958,0.270748902,8.032217416,6.893028641,40.666825597,38.517862616,49.916561659,2016,58726
JACKSON,2.238187345,2.201920420,1.436861011,1.433407019,0.044901907,0.046628903,1.740812379,1.861702128,0.286681404,0.257322465,8.239499862,6.980519481,40.475614811,38.510292899,49.740950539,2017,57904
JACKSON,2.263959922,2.262214387,1.483705423,1.410392920,0.041892859,0.045383931,1.759500079,1.818848295,0.274049119,0.258339297,8.333187872,6.985634240,40.468501807,38.417497251,49.690167397,2018,57289
JACKSON,2.340088106,2.313656388,1.485462555,1.413215859,0.045814978,0.047577093,1.762114537,1.781497797,0.283700441,0.278414097,8.280176211,6.923348018,40.405286344,38.588546256,49.554185022,2019,56750
JASPER,0.643821391,0.737279335,0.332294912,0.342679128,0.020768432,0,0.238836968,0.103842160,0.124610592,0.155763240,0.062305296,0.176531672,49.833852544,48.930425753,50.290758048,2015,9630
JASPER,0.782635918,0.720025044,0.323489513,0.302619222,0.020870291,0,0.240008348,0.104351456,0.093916310,0.125221747,0.062610873,0.166962329,49.650422623,49.201711364,50.057393301,2016,9583
JASPER,0.882074976,0.682558017,0.336028562,0.315026777,0.021001785,0,0.262522314,0.115509818,0.094508033,0.115509818,0.042003570,0.168014281,49.658720991,49.175679933,50.068255802,2017,9523
JASPER,0.987115544,0.727348296,0.374064838,0.342892768,0.020781380,0,0.238985869,0.083125520,0.093516209,0.114297589,0.103906899,0.197423109,49.501246883,49.262261014,49.906483791,2018,9624
JASPER,1.071800208,0.770031217,0.405827263,0.385015609,0.020811655,0,0.239334027,0.093652445,0.104058273,0.124869927,0.114464100,0.187304891,49.687825182,49.011446410,50.104058273,2019,9610
JEFFERSON,0.851797659,1.523306856,0.924958194,0.932796823,0.015677258,0.015677258,0.561768395,0.543478261,0.164611204,0.177675585,3.511705686,5.502717391,45.278532609,43.274456522,51.546822742,2015,38272
JEFFERSON,0.942063118,1.635526247,0.957764170,0.973465222,0.018317894,0.015701052,0.570471555,0.544303135,0.159627362,0.177945256,3.540587219,5.466582928,45.276600199,43.217145549,51.536086251,2016,38214
JEFFERSON,0.980417926,1.682218426,1.011959522,0.972532527,0.018399264,0.015770798,0.562491786,0.536207123,0.165593376,0.186621107,3.519516362,5.498751479,45.304244973,43.148902615,51.573137075,2017,38045
JEFFERSON,1.092606343,1.744987801,1.071390686,0.946748701,0.018563700,0.018563700,0.599342315,0.548955129,0.175029172,0.180333086,3.444892331,5.468335632,45.165482126,43.277288639,51.413493158,2018,37708
JEFFERSON,1.133106889,1.772635601,1.135760535,0.973888122,0.018575523,0.018575523,0.605031313,0.581148498,0.180447935,0.217598981,3.399320667,5.508969324,45.114637512,43.182783144,51.478080883,2019,37684
JERSEY,0.709793351,0.561545373,0.592991914,0.592991914,0.008984726,0.022461815,0.539083558,0.157232704,0.161725067,0.206648697,0.314465409,0.377358491,47.861635220,49.694519317,48.688230009,2015,22260
JERSEY,0.719916162,0.637900396,0.647013259,0.587779651,0.009112863,0.022782157,0.633343965,0.154918668,0.145805805,0.214152276,0.337175924,0.405522395,47.792408985,49.569417232,48.658130952,2016,21947
JERSEY,0.798649142,0.666301570,0.679992698,0.620664476,0.009127419,0.022818547,0.702811245,0.164293538,0.159729828,0.214494341,0.378787879,0.397042716,47.882438846,49.356516977,48.713033954,2017,21912
JERSEY,0.802936453,0.688231246,0.679054829,0.591878871,0.009176417,0.022941042,0.766230787,0.160587291,0.155999082,0.215645790,0.371644873,0.422115164,47.864189034,49.295710025,48.722183987,2018,21795
JERSEY,0.776190695,0.665962431,0.688926652,0.610848298,0.009185689,0.022964222,0.835897671,0.174528085,0.160749552,0.206677996,0.344463326,0.459284435,47.765581224,49.294998393,48.665778717,2019,21773
JO DAVIESS,1.336898396,1.581618780,0.398803589,0.430526602,0.013595577,0.031723013,0.285507115,0.203933654,0.099700897,0.131423910,0.285507115,0.280975256,49.311157437,48.935013142,49.981872564,2015,22066
JO DAVIESS,1.389016228,1.604474191,0.412579078,0.495094893,0.013752636,0.032089484,0.293389566,0.178784267,0.123773723,0.165031631,0.307142202,0.343815898,49.147336573,48.936462822,49.912899972,2016,21814
JO DAVIESS,1.428239125,1.544545243,0.460572226,0.525703652,0.013956734,0.037217958,0.302395906,0.186089788,0.144219586,0.176785299,0.321004885,0.353570598,49.053268202,48.918353105,49.839497558,2017,21495
JO DAVIESS,1.434531902,1.668932539,0.482865313,0.595377619,0.018752051,0.032816089,0.318784867,0.210960574,0.145328395,0.187520510,0.290656791,0.393793071,49.200693826,48.699076461,50.044536121,2018,21331
JO DAVIESS,1.473981634,1.681186720,0.480339063,0.588650812,0.018836826,0.037673652,0.282552390,0.202495879,0.141276195,0.188368260,0.306098422,0.461502237,49.178243466,48.683776784,50.087120320,2019,21235
JOHNSON,0.845268842,2.418408077,0.555685998,0.446114111,0.007826563,0.023479690,0.156531267,0.093918760,0.086092197,0.226970337,0.242623464,8.945761916,46.928073883,42.701729671,56.249510840,2015,12777
JOHNSON,0.915368556,2.192066806,0.602216155,0.513891119,0.008029549,0.024088646,0.176650072,0.096354585,0.096354585,0.224827365,0.248916011,6.841175526,47.462662598,44.170547615,54.697286013,2016,12454
JOHNSON,0.879103153,2.242116300,0.612952657,0.564561658,0.008065167,0.024195500,0.161303331,0.096781999,0.088716832,0.241954996,0.258085329,6.871521897,47.503830954,44.084200339,54.786676345,2017,12399
JOHNSON,0.982049424,2.197536827,0.643966836,0.539322225,0.008049585,0.024148756,0.169041294,0.128793367,0.112694196,0.273685905,0.249537149,6.850197215,47.291314497,44.208323271,54.608387668,2018,12423
JOHNSON,0.966417009,2.174438270,0.636224531,0.563743255,0.008053475,0.024160425,0.153016026,0.104695176,0.120802126,0.289925103,0.233550777,6.877667714,47.145043086,44.374647660,54.473705404,2019,12417
KANE,15.285762917,16.093880021,0.939367577,0.916294727,0.038202587,0.037446100,2.156176715,1.950223164,0.474506392,0.538618655,3.063393600,2.973560784,44.171079507,43.608253272,49.720099856,2015,528760
KANE,15.416429570,16.226828910,0.967354153,0.933626768,0.038061071,0.040510546,2.185496848,1.980494643,0.475386546,0.533420258,3.050538319,2.953878272,44.172134020,43.551286351,49.731876712,2016,530726
KANE,15.537544714,16.326427090,0.989343794,0.959847597,0.038514143,0.040392882,2.224990231,2.030728650,0.469872546,0.529616437,3.056519975,2.961267923,44.115602549,43.490921935,49.729837376,2017,532272
KANE,15.648746058,16.450105121,0.985132903,0.962794714,0.038106322,0.041860640,2.242453822,2.060181709,0.471166842,0.541935726,3.045126896,2.964033639,44.137820994,43.420746358,49.797266857,2018,532720
KANE,15.797619472,16.576540703,0.995674329,0.979521152,0.038504667,0.042073392,2.282293676,2.092212102,0.474076968,0.550147163,3.025339827,2.968240224,44.108128617,43.370717295,49.813393238,2019,532403
KANKAKEE,4.688143177,5.276062640,0.917225951,0.968232662,0.017002237,0.023266219,0.539597315,0.469798658,0.204921700,0.198657718,7.858612975,7.426398210,40.955704698,41.329753915,49.132885906,2015,111750
KANKAKEE,4.747029168,5.404213180,0.943464170,0.976773497,0.019805546,0.025207058,0.537450486,0.482535110,0.198955708,0.199855960,7.859200576,7.401872524,41.046993158,41.220741808,49.220381707,2016,111080
KANKAKEE,4.885109463,5.533743441,0.985163742,1.022254388,0.020806948,0.024425547,0.528315542,0.484892347,0.203546228,0.202641578,7.751040347,7.347566492,41.182377420,41.216754116,49.294373078,2017,110540
KANKAKEE,5.013960510,5.606031668,0.994970578,1.015888607,0.021827508,0.023646467,0.546597182,0.517493838,0.218275081,0.213727684,7.733304230,7.327676371,41.088465071,41.252171382,49.232854038,2018,109953
KANKAKEE,5.119149478,5.728095247,1.000345888,1.068613351,0.022755821,0.023666054,0.554331798,0.521563416,0.220276347,0.227558209,7.676903752,7.322823178,41.159818682,41.213522419,49.311863975,2019,109862
KENDALL,8.571916861,8.843731181,1.014013900,0.971695503,0.027669721,0.024414460,1.710639822,1.477888638,0.230309738,0.249027491,3.470922378,3.380588877,44.327707157,44.039616530,49.506827911,2015,122878
KENDALL,8.820813426,9.119524632,0.998915967,0.999718955,0.030513510,0.027301562,1.679849038,1.439755892,0.236078211,0.250531979,3.551611997,3.527522383,44.308025856,43.900911390,49.602119886,2016,124535
KENDALL,9.141353288,9.523432050,1.004343966,1.036051747,0.033293170,0.031707781,1.662280424,1.432399011,0.252076860,0.251284165,3.725664278,3.701090748,44.195097977,43.661614560,49.660726742,2017,126152
KENDALL,9.490514184,9.853034443,1.005347761,1.062505383,0.036800113,0.032885207,1.736652129,1.495493944,0.270128487,0.259949733,3.881237423,3.799024406,43.936202698,43.493818364,49.576015722,2018,127717
KENDALL,9.810062796,10.239553454,1.051244283,1.103186294,0.039537949,0.034111171,1.774556167,1.555159315,0.285293434,0.275990387,4.032870765,3.922009458,43.703387860,43.271571440,49.544925963,2019,128990
KNOX,2.363247031,3.130231653,1.247810006,1.216663422,0.017519953,0.009733307,0.548958536,0.441892155,0.157679580,0.227759393,2.746739342,5.329959120,44.290441892,44.932840179,50.348452404,2015,51370
KNOX,2.417660114,3.173792643,1.276587387,1.266767484,0.017675825,0.009819903,0.575446315,0.467427382,0.155154467,0.239605633,2.755464776,5.355775085,44.356501758,44.731622052,50.488049178,2016,50917
KNOX,2.546612096,3.272238369,1.297032248,1.289123515,0.017794650,0.009885917,0.579314708,0.434980327,0.158174664,0.241216363,2.860984242,5.399687605,44.314609407,44.640844653,50.445854835,2017,50577
KNOX,2.581135700,3.307455280,1.346592501,1.344591620,0.022009684,0.014006163,0.582256193,0.430189283,0.162071311,0.258113570,2.799231662,5.370362960,44.401536676,44.567609748,50.520228901,2018,49978
KNOX,2.680134409,3.340107447,1.396406366,1.378297350,0.022133242,0.014084790,0.563391618,0.430592165,0.171029598,0.257550454,2.841103443,5.495080384,44.302702268,44.461659188,50.544276545,2019,49699
LAKE,10.179943259,10.782545263,1.018292363,1.025672321,0.043286296,0.047402042,3.898179279,3.643996475,0.404478499,0.441662137,3.775700351,3.633778070,42.096277237,40.919599609,49.940463603,2015,704611
LAKE,10.338872810,10.967140897,1.043657815,1.061267500,0.046012401,0.049562740,4.009895506,3.760945697,0.403318573,0.439532037,3.791052576,3.630861256,42.017416546,40.728075233,49.977987895,2016,704158
LAKE,10.518950852,11.159970106,1.057688886,1.076906651,0.046976761,0.049539130,4.133670237,3.878287484,0.404996619,0.437880352,3.814940033,3.642976618,41.880778675,40.569415282,49.972312182,2017,702475
LAKE,10.728043832,11.343692779,1.078779337,1.101221149,0.045884215,0.049457752,4.245933672,3.999931388,0.412386165,0.440259753,3.832689858,3.641577102,41.751204639,40.417989471,49.966337282,2018,699587
LAKE,10.898949802,11.536677985,1.088674654,1.126720122,0.045510994,0.048669485,4.351396556,4.094410188,0.418787283,0.447931547,3.823067039,3.657676929,41.672995614,40.268758928,50.003804547,2019,696535
LASALLE,4.314576784,4.886550951,0.605301795,0.656644358,0.017114188,0.013511201,0.533242058,0.314360605,0.173844117,0.172042623,0.676460786,2.012268170,47.825147047,47.617074555,50.376962502,2015,111019
LASALLE,4.415914349,5.029260990,0.622419816,0.672322279,0.019053668,0.014517080,0.571610035,0.341151386,0.176926916,0.196887901,0.720410108,1.962527787,47.858277004,47.485369505,50.404209953,2016,110215
LASALLE,4.552918210,5.125795917,0.652241338,0.702413749,0.020068964,0.015507836,0.592034446,0.355768003,0.167849519,0.200689643,0.746200580,2.001423072,47.797887285,47.425699221,50.395905931,2017,109622
LASALLE,4.701398877,5.295944448,0.675161920,0.715470094,0.020154087,0.014657518,0.603706520,0.344451671,0.178638500,0.210701820,0.791505968,2.059381270,47.752361235,47.323628835,50.407204170,2018,109159
LASALLE,4.852349796,5.400804277,0.694770358,0.745382768,0.020244964,0.015643836,0.599066891,0.344164389,0.173922646,0.206130543,0.788633373,2.090752653,47.779955645,47.254506805,50.468854963,2019,108669
LAWRENCE,0.698451260,3.091406013,0.510173094,0.601275433,0.012146978,0.018220468,0.151837230,0.297600972,0.170057698,0.212572123,0.406923778,9.754023687,45.599757060,42.854539933,55.894321288,2015,16465
LAWRENCE,0.624150290,3.139290570,0.531454703,0.630329996,0.012359412,0.018539118,0.179211470,0.302805586,0.160672352,0.234828822,0.401680880,9.393152886,45.729823260,43.004572982,55.710048202,2016,16182
LAWRENCE,0.642665502,3.150932801,0.511636613,0.580270793,0.012478942,0.018718413,0.180944656,0.330691957,0.174705185,0.237099894,0.405565608,9.496474699,45.635490110,42.977475510,55.737193486,2017,16027
LAWRENCE,0.733573642,3.136659710,0.524884589,0.550180231,0.012647821,0.025295643,0.164421678,0.347815089,0.202365143,0.252956428,0.417378107,9.656611649,45.664959211,42.730664643,55.947638019,2018,15813
LAWRENCE,0.733511928,3.246587575,0.574052813,0.567674448,0.012756729,0.031891823,0.172215844,0.344431688,0.216864396,0.261512948,0.459242250,9.803546371,45.509631331,42.581961985,55.982905983,2019,15678
LEE,2.343501057,3.539874279,0.750267953,0.715506503,0.023174300,0.023174300,0.460589207,0.344717708,0.121665073,0.194084760,0.735784016,4.550853104,47.686915211,45.065322557,52.843196895,2015,34521
LEE,2.394619354,3.551342262,0.736359947,0.730561837,0.020293384,0.023192439,0.443555401,0.362381864,0.127558416,0.197135734,0.730561837,4.693569896,47.651765524,44.984635009,52.957036006,2016,34494
LEE,2.489866821,3.720324262,0.799073538,0.744064852,0.020266358,0.023161552,0.442964679,0.350318471,0.130283729,0.214244354,0.773016792,4.748118124,47.683844818,44.788650840,53.045744065,2017,34540
LEE,2.603802193,3.880919058,0.766853277,0.746442734,0.020410544,0.029157919,0.437368789,0.381968743,0.142873805,0.224515979,0.743526942,4.811056683,47.594471659,44.809890366,53.079076277,2018,34296
LEE,2.698263726,3.894885031,0.739089629,0.739089629,0.020530267,0.029328954,0.431135617,0.378343501,0.140778977,0.237564524,0.759619897,4.845143125,47.592092914,44.791177851,53.117667762,2019,34096
LIVINGSTON,1.863133452,2.526977189,0.622865729,0.778582161,0.008195602,0.002731867,0.387925147,0.374265811,0.131129627,0.144788963,1.701953285,2.677229887,47.001775714,46.897964759,50.249965852,2015,36605
LIVINGSTON,1.883291329,2.556291024,0.667460603,0.811476999,0.008308638,0.008308638,0.384966904,0.390505996,0.130168665,0.144016396,1.603567175,2.464896004,47.129365497,47.037970477,50.167557537,2016,36107
LIVINGSTON,1.982061787,2.624294098,0.647768796,0.794485661,0.008304728,0.008304728,0.404163437,0.420772893,0.127339165,0.141180379,1.616653748,2.477577234,47.101649873,47.015834348,50.179935777,2017,36124
LIVINGSTON,2.032816263,2.629221034,0.669205354,0.921207370,0.005600045,0.008400067,0.456403651,0.459203674,0.126001008,0.145601165,1.640813127,2.539620317,46.945175561,46.959175673,50.142801142,2018,35714
LIVINGSTON,2.078657989,2.673361759,0.676054758,0.914497307,0.005610413,0.008415619,0.471274686,0.451638241,0.154286355,0.159896768,1.660682226,2.606036804,46.933909336,46.841337522,50.190754039,2019,35648
LOGAN,1.147384237,2.223056959,0.659062970,0.727359650,0.006829668,0.010244502,0.430269089,0.344898238,0.133178528,0.218549379,2.800163912,5.149569731,44.853845103,45.338751537,50.631744297,2015,29284
