County,Percent Hispanic Female,Percent Hispanic Male,Percent Two or More Races Female,Percent Two or More Races Male,Percent Native Hawaiin Female,Percent Native Hawaiin Male,Percent Asain Female,Percent Asain Male,Percent American Indian Female,Percent American Indian Male,Percent Black Female,Percent Black Male,Percent White Male,Percent White Female,Population Percent Male,YEAR,TOT_POP
CALHOUN,0.555555556,0.514403292,0.205761317,0.185185185,0,0,0.226337449,0.041152263,0.123456790,0.061728395,0.123456790,0.185185185,49.938271605,49.074074074,50.246913580,2015,4860
CALHOUN,0.616142945,0.533990552,0.246457178,0.225919080,0,0,0.184842884,0.020538098,0.143766687,0.061614295,0.184842884,0.225919080,49.763811871,49.168207024,50.071883344,2016,4869
CALHOUN,0.721500722,0.618429190,0.226757370,0.267985982,0,0,0.206143063,0.020614306,0.144300144,0.061842919,0.185528757,0.247371676,49.783549784,49.123891981,50.113378685,2017,4851
CALHOUN,0.662663077,0.641954856,0.227790433,0.331331539,0,0.020708221,0.227790433,0.041416442,0.207082212,0.062124663,0.186373990,0.248498654,49.575481466,49.140608822,50.010354111,2018,4829
CALHOUN,0.696349441,0.738552437,0.316522473,0.379826968,0,0.042202996,0.253217978,0.042202996,0.168811986,0.063304495,0.189913484,0.253217978,49.883941760,48.786663853,50.284870226,2019,4739
CARROLL,1.686928015,1.809862041,0.601010791,0.682966808,0.020489004,0,0.327824068,0.286846059,0.191230706,0.184401038,0.382461412,0.601010791,48.961890452,48.374538997,50.102445021,2015,14642
CARROLL,1.733351603,1.774458756,0.671416827,0.719375171,0.027404768,0.006851192,0.322006029,0.280898876,0.212386955,0.226089340,0.417922719,0.623458482,48.842148534,48.321457934,50.027404768,2016,14596
CARROLL,1.747841105,1.962003454,0.677029361,0.766839378,0.027633851,0.006908463,0.317789292,0.269430052,0.248704663,0.241796200,0.400690846,0.642487047,48.642487047,48.462867012,49.865284974,2017,14475
CARROLL,1.844348191,2.012016208,0.691630571,0.796423082,0.020958502,0,0.335336035,0.237529691,0.216571189,0.237529691,0.398211541,0.670672069,48.644683527,48.484001677,49.853290485,2018,14314
CARROLL,1.845508563,2.062216008,0.761971339,0.824886403,0.020971688,0,0.363509262,0.244669696,0.230688570,0.244669696,0.384480951,0.713037400,48.535477106,48.423628102,49.814750087,2019,14305
CASS,8.385891147,10.114459238,0.646266449,0.513898622,0.046718057,0.015572686,0.342599081,0.233590283,0.233590283,0.428248852,1.876508604,2.569493109,46.749201900,46.819278985,50.035038542,2015,12843
CASS,8.380681818,10.077335859,0.647095960,0.560290404,0.055239899,0.023674242,0.339330808,0.236742424,0.236742424,0.410353535,1.901830808,2.888257576,46.835542929,46.401515152,50.418244949,2016,12672
CASS,8.757604867,10.094460455,0.616394492,0.552353506,0.056035863,0.024015370,0.376240794,0.272174191,0.248158822,0.416266411,1.905219340,2.881844380,46.597822606,46.589817483,50.208133205,2017,12492
CASS,9.121182586,10.274528915,0.674139051,0.625406108,0.064977258,0.032488629,0.365497076,0.333008447,0.259909032,0.438596491,1.965562053,2.932098765,46.621182586,46.296296296,50.373619233,2018,12312
CASS,9.129826295,10.208281880,0.757388656,0.707993743,0.090557339,0.082324854,0.395159299,0.411624269,0.263439532,0.477484152,2.107516259,3.029554623,46.077220713,46.283032848,50.102906067,2019,12147
CHAMPAIGN,2.708924358,3.013630589,1.393147453,1.371178038,0.041550850,0.061132285,5.025742423,5.642318824,0.159039459,0.191515985,6.877859606,6.250776093,37.647457757,36.595791424,49.906868785,2015,209382
CHAMPAIGN,2.750739779,3.073768542,1.409147566,1.405341630,0.041389547,0.060894966,5.062845508,5.681785745,0.159373543,0.200763090,6.969619121,6.344969981,37.588369062,36.379508844,49.978115872,2016,210198
CHAMPAIGN,2.827135559,3.103718665,1.436141143,1.400498990,0.040394440,0.063680646,5.126292028,5.696566473,0.161102531,0.197695141,7.144588333,6.482594749,37.345372460,36.191517168,49.899964358,2017,210425
CHAMPAIGN,2.924475271,3.158852504,1.469145095,1.441038882,0.037157366,0.062881697,5.136291314,5.680789642,0.161968007,0.199125373,7.237588011,6.546842100,37.208814871,36.152211816,49.805638392,2018,209918
CHAMPAIGN,3.009218414,3.246236092,1.505563000,1.470749539,0.038628636,0.061996576,5.212004445,5.702254291,0.163575581,0.201727320,7.282213182,6.561622212,37.036277535,36.117297522,49.680717634,2019,209689
CHRISTIAN,0.570779667,0.989152198,0.478140035,0.502047037,0.020918627,0.017930251,0.343663150,0.245046768,0.113558258,0.101604757,0.248035143,1.329826973,49.212563129,47.843887278,50.951797508,2015,33463
CHRISTIAN,0.613903100,0.990069215,0.481492627,0.520613903,0.021065302,0.018055974,0.331026181,0.264820945,0.129401144,0.117363828,0.240746314,1.348179356,49.127294613,47.890460427,50.905808005,2016,33230
CHRISTIAN,0.608961735,1.002817584,0.466567698,0.536249886,0.021207623,0.018177962,0.336292302,0.251461811,0.142394038,0.121186415,0.260550792,1.363347169,49.053231133,47.923167813,50.849819735,2017,33007
CHRISTIAN,0.624751171,1.029001929,0.508375953,0.597188620,0.024500046,0.018375034,0.358313172,0.263375494,0.143937770,0.125562735,0.290938046,1.365877561,49.049091967,47.821027164,50.852907849,2018,32653
CHRISTIAN,0.674839029,1.043214463,0.572684497,0.612927192,0.024764735,0.018573551,0.371471025,0.263125310,0.157875186,0.123823675,0.244551758,1.365156018,49.055844477,47.743313522,50.885339277,2019,32304
CLARK,0.749936980,0.894882783,0.447441391,0.478951349,0.012603983,0.012603983,0.258381649,0.081925889,0.119737837,0.107133854,0.195361734,0.239475674,48.632467860,49.848752206,49.117721200,2015,15868
CLARK,0.643249038,0.889197200,0.435139055,0.510815413,0.018919089,0.012612726,0.264867251,0.094595447,0.119820899,0.107208173,0.220722709,0.277479977,48.937377814,49.473418679,49.467112316,2016,15857
CLARK,0.619782444,0.967619529,0.430053124,0.569187959,0.018972932,0.012648621,0.271945358,0.101188970,0.126486213,0.107513281,0.233999494,0.252972426,49.013407539,49.392866178,49.525676701,2017,15812
CLARK,0.608974359,0.967948718,0.467948718,0.596153846,0.019230769,0.012820513,0.294871795,0.121794872,0.141025641,0.108974359,0.224358974,0.237179487,49.064102564,49.256410256,49.596153846,2018,15600
CLARK,0.621721391,0.913153293,0.466291043,0.524577424,0.019428793,0.012952529,0.284955638,0.097143967,0.129525290,0.103620232,0.226669257,0.259050580,49.025322194,49.336182890,49.536947089,2019,15441
CLAY,0.596970375,0.776061488,0.455189911,0.507424819,0,0,0.514886949,0.268636669,0.141780464,0.097007686,0.216401761,0.268636669,48.854563092,49.160510410,49.511230505,2015,13401
CLAY,0.608382154,0.788643533,0.465675229,0.503229683,0,0,0.525762355,0.292924741,0.150217816,0.120174253,0.210304942,0.247859396,48.828301037,49.136247559,49.511792099,2016,13314
CLAY,0.663149962,0.806330068,0.444611907,0.497362472,0,0,0.527505652,0.278824416,0.143180106,0.097965335,0.226073851,0.241145441,48.809344386,49.193669932,49.464958553,2017,13270
CLAY,0.746268657,0.874415800,0.467360169,0.542740841,0,0,0.542740841,0.301522690,0.150761345,0.105532941,0.263832353,0.278908488,48.884366049,48.982360923,49.592944369,2018,13266
CLAY,0.758495146,0.857099515,0.477851942,0.546116505,0,0,0.546116505,0.326152913,0.151699029,0.113774272,0.265473301,0.310983010,48.733313107,49.021541262,49.537317961,2019,13184
CLINTON,1.149608390,1.877074207,0.565511748,0.546926855,0.026549847,0.037169786,0.353112970,0.185848931,0.151334130,0.215053763,0.525686977,3.095712200,48.328687110,46.480817735,51.896986592,2015,37665
CLINTON,1.215457858,1.928242772,0.595760526,0.574483364,0.029256097,0.037235033,0.359052102,0.172876938,0.164898003,0.226069842,0.518630815,3.093167371,48.355009442,46.418787734,51.913614724,2016,37599
CLINTON,1.168813920,1.949794129,0.595032541,0.592376146,0.029220348,0.037189534,0.369238943,0.185947669,0.164696507,0.212511622,0.502058706,3.134546421,48.354363129,46.367379466,51.972373489,2017,37645
CLINTON,1.159243441,1.973631854,0.620739051,0.610128127,0.026527310,0.037138234,0.376687800,0.190996631,0.164469321,0.201607555,0.554420776,3.156749874,48.290314879,46.348515797,51.908639945,2018,37697
CLINTON,1.208668335,1.980725201,0.676215324,0.652254939,0.026622651,0.037271711,0.394015228,0.202332144,0.170384964,0.212981204,0.540439806,3.122836910,48.160374847,46.416591236,51.775730792,2019,37562
COLES,1.170969164,1.192050442,0.835585197,0.774257843,0.017248318,0.095823990,0.611357059,0.559612104,0.137986546,0.126487667,1.924145729,1.922229249,45.851779452,47.856417333,48.617259817,2015,52179
COLES,1.228202306,1.226271170,0.830388351,0.764729738,0.017380221,0.096556785,0.581271846,0.507888689,0.133248363,0.119730413,2.050866114,1.923411158,45.737017940,47.934650368,48.452194736,2016,51783
COLES,1.224855413,1.291063813,0.839288844,0.802290032,0.019473059,0.105154519,0.595875606,0.516036064,0.132416801,0.114891048,2.029092750,1.960937044,45.765583315,47.855042549,48.528810391,2017,51353
COLES,1.247319444,1.361427532,0.877451848,0.800723996,0.025575951,0.106238565,0.570540440,0.462334494,0.143618800,0.114108088,1.990989396,1.989022015,45.698321824,47.947038108,48.444785457,2018,50829
