,Total.Index.Crime.Rates.per.100K,Unemployment.Rate,Percent.Hispanic.Female,Percent.Hispanic.Male,Percent.Two.or.More.Races.Female,Percent.Two.or.More.Races.Male,Percent.Native.Hawaiin.Female,Percent.Native.Hawaiin.Male,Percent.Asain.Female,Percent.Asain.Male,Percent.American.Indian.Female,Percent.American.Indian.Male,Percent.Black.Female,Percent.Black.Male,Percent.White.Male,Percent.White.Female,Population.Percent.Male,HTIS.per.100K,Arson.per.100K,Percent.of.Meth.Arrests,Percent.Needle.Syringe.Arrests,Percent.Controlled.Substance.Arrests,HTS.Per.100K,Percent.of.Paraphernalia.Drug.Arrests,Battery.Assault.Per.100K,Sexual.Assault.Per.100k,Percent.Cannabis.Arrests,MVT.Per.100K,Theft.per.100K,Burglary.per.100K,Robbery.Per.100K,Homocides.Per.100k,Prop.Female.household.no.Children,Female.Household.with.Children.under.6,Prop.Female.Household.with.Children.under.18,Prop.Female.Household,Prop.Male.Household.No.Children,Prop.Male.Household.with.children.under.6,Prop.Male.Household.with.children.under.18,Prop.Male.Household,Prop.Other.Family.Type..Not.Married.,Prop.Married.no.children.under.18,Prop.Married.with.children.under.6,Prop.Married.with.Children.under.18,Prop.Married.Couple.Family,Prop.Female.Poverty.75.,Prop.Female.Poverty.65.74,Prop.Female.Poverty.55.64,Prop.Female.Poverty.45.54,Prop.Female.Poverty.35.44,Prop.Female.Poverty.25.34,Prop.Female.Poverty.18.24,Prop.Female.17.and.Under,Prop.Female.Poverty,Prop.Male.Poveryy.75.,Prop.Male.Poverty.65.74,Prop.Male.Poverty.55.64,Prop.Male.Poverty.45.54,Prop.Male.Poverty.35.44,Prop.Male.Poverty.25.34,Prop.Male.Poverty.18.24,Prop.Male.Poverty.Under.17,Prop.Male.Poverty,Prop.3.Earner,Prop.2.Earner,Prop.1.Earner,Prop.No.Earners,X2018.Normalized.Per.Capital.Income.Dollars,X2018.percent.change,X2018.rank.percent..change,Normalize.2018.GDP,Percent.Change...2018,Rank.in.State.for.Percent.Change...2018
HTIS.per.100K,0.03862581,-0.07603698,-0.036194219,-0.030557963,0.095241711,0.089987326,-0.001532641,0.06568071,-0.026446399,-0.034441814,-0.04514428,-0.028746521,0.091614509,0.090778858,-0.071080355,-0.078386684,0.006352101,1,0.109615125,-0.063260973,0.009857071,0.005165667,0.154704419,0.098824343,0.020286372,-0.062065671,-0.021469004,0.031376924,0.035685163,0.046614911,0.063810974,0.058375927,0.06388286,-0.027920834,0.011599197,0.038664496,0.017518445,0.014979695,0.038321414,0.039635662,0.044166413,-0.082821412,-0.007592279,0.036063283,-0.044166413,0.050068041,-0.00118998,-0.037158859,-0.089610678,-0.054086646,-0.011251121,-0.039517711,-0.032471901,-0.050036247,-0.03842808,-0.033297093,0.031911691,-0.093328679,-0.035688222,-0.025539735,-0.056860686,-0.003289258,-0.054288501,0.1058155,0.019493339,-0.037921969,-0.065653688,-0.068609576,0.04905378,-0.073941847,0.008938032,0.03436204,-0.067512447
Arson.per.100K,0.586431112,0.161780806,-0.049773136,-0.079614098,0.401339925,0.372169421,-0.099692736,0.01585326,0.011985034,0.019036904,0.063026195,-0.041542537,0.259526067,0.115301606,-0.247283559,-0.124081425,-0.239605416,0.109615125,1,0.104323438,-0.043018665,0.065359927,-0.056579622,-0.115041321,0.410350004,0.390079683,-0.08587782,0.590140039,0.537527141,0.574969224,0.339287638,0.217329102,0.237422565,0.224395626,0.272420887,0.299167118,0.208826863,0.24202206,0.141610164,0.230067621,0.316846917,-0.232767296,-0.117397705,-0.098902557,-0.316846917,0.019333113,0.192947221,0.209467595,0.043908705,0.238903198,0.221388384,0.055619442,0.275116803,0.24198449,-0.097466737,0.074015013,0.098024981,-0.046144988,0.049728631,0.216191042,0.050770774,0.313525278,0.177414881,-0.052973089,-0.191239764,0.153067185,0.114106573,0.051857286,0.030648656,-0.050143764,-0.008629748,0.124341581,-0.147199008
Percent.of.Meth.Arrests,0.016770254,0.21188852,-0.499762292,-0.507918907,-0.257777953,-0.28841556,-0.109583206,-0.006818313,-0.411929599,-0.398319692,-0.149880609,-0.103091978,-0.206596187,-0.160688083,0.262834956,0.304271529,-0.006725496,-0.063260973,0.104323438,1,-0.089185566,-0.5333134,-0.005417719,-0.173429668,0.048251492,0.06062661,-0.61302806,-0.031793139,-0.031104072,0.174947689,-0.223517609,-0.249840272,0.094554622,0.099591898,0.012916435,0.054265563,-0.039376645,0.015191733,0.071309893,0.031779706,0.054244644,0.312546949,-0.313819634,-0.362292369,-0.054244644,0.363403917,0.373217338,0.473790149,0.367115874,0.301388305,0.288735133,0.007466355,0.294896242,0.367434577,0.225030226,0.330680902,0.350668051,0.180378762,0.151500501,0.210160557,-0.025744019,0.252540081,0.268614573,-0.505728811,-0.3460728,0.229415941,0.544743233,0.394879413,0.0616537,-0.143881091,0.206172402,0.031530991,-0.10420737
Percent.Needle.Syringe.Arrests,-0.130605664,0.045173567,-0.038977177,-0.049958079,-0.063452056,-0.044718092,-0.039693395,-0.162919463,-0.101769672,-0.11029045,0.003915444,-0.123156704,-0.115109805,-0.125637294,0.172612534,0.10785178,0.035914075,0.009857071,-0.043018665,-0.089185566,1,-0.211250286,-0.000615245,-0.185644124,-0.104092591,-0.166577155,-0.299607073,-0.056071272,-0.142262006,-0.0764941,-0.108008426,0.314311615,-0.127437118,-0.147768164,-0.091048716,-0.123223458,-0.075526784,0.11716058,0.084412698,0.020883997,-0.092832038,0.237948498,-0.068664525,-0.13684401,0.092832038,-0.042033723,-0.140789056,-0.054766289,-0.036920076,-0.037127268,-0.027574715,-0.08986339,-0.025995262,-0.082567201,0.00646558,0.108976065,-0.080265557,-0.001281213,-0.103402588,-0.133741978,-0.071644146,0.030869661,-0.058297543,0.037271448,-0.044312908,0.019098122,0.004342698,-0.148422624,-0.223616535,0.231403915,0.065919987,-0.222176827,0.219141777
Percent.Controlled.Substance.Arrests,0.252137407,-0.039228526,0.381018729,0.356972659,0.422332055,0.459837576,-0.013726853,0.228090676,0.398162589,0.393394519,0.233658368,0.056703672,0.439649206,0.286093263,-0.478165674,-0.414069418,-0.170812983,0.005165667,0.065359927,-0.5333134,-0.211250286,1,0.00973033,-0.447960503,0.124262554,0.210465763,0.21628839,0.26525691,0.2812301,0.105831476,0.387698817,0.182192657,0.215520819,-0.080316429,0.117036388,0.183266906,0.12289207,0.013529148,0.005006969,0.074957746,0.172640225,-0.440630784,0.1370989,0.252645161,-0.172640225,-0.21339806,-0.097520557,-0.1537934,-0.084537133,-0.069205909,-0.073659309,0.087968535,-0.037088372,-0.054657804,-0.215181508,-0.271482275,-0.184048172,-0.258126217,-0.204725863,0.009784034,0.121156652,-0.008660857,-0.10543535,0.304916397,0.074809819,-0.012730742,-0.291102526,-0.200039717,0.017178815,-0.010152788,-0.272404313,0.130431035,-0.103623008
HTS.Per.100K,0.094386726,0.005994532,0.032258842,0.043924971,0.169510803,0.174991435,0.004875926,-0.028862162,-0.009261657,-0.018991837,-0.016531638,0.02234601,0.02757849,0.071375692,-0.046486196,-0.047735447,0.02807155,0.154704419,-0.056579622,-0.005417719,-0.000615245,0.00973033,1,-0.057215891,0.051628719,0.059247677,0.057156452,0.064480125,0.122277985,0.028204515,0.031888284,0.042159884,0.076353275,-0.096523788,0.016778124,0.048188193,-0.013086709,0.029348465,0.056604071,0.035939121,0.050672432,-0.042923392,-0.028198306,-0.010179066,-0.050672432,0.085299915,0.046743353,-0.038391648,0.077998592,0.060513478,0.081583801,0.020090191,-0.000967817,0.046873959,-0.026519657,-0.063732772,0.038724776,0.019819204,0.008484208,0.062082903,0.07767406,0.095183662,0.080886567,-0.066096494,-0.046935826,0.10904225,0.005991435,0.048525695,-0.062772752,0.100176465,-0.002164549,-0.078450254,0.133392182
Percent.of.Paraphernalia.Drug.Arrests,-0.190889019,-0.063285315,-0.063550964,-0.008427479,-0.16508752,-0.196794052,0.027465923,-0.038166587,-0.070376752,-0.05663793,-0.193675842,0.114852131,-0.249188835,-0.077550384,0.199274745,0.134596712,0.203269789,0.098824343,-0.115041321,-0.173429668,-0.185644124,-0.447960503,-0.057215891,1,-0.123818352,-0.259507438,-0.045736261,-0.198781152,-0.198358103,-0.092367498,-0.22000916,-0.235680881,-0.123727332,0.074329682,-0.083795467,-0.11650578,0.101475797,-0.065044682,-0.112892005,-0.027659215,-0.103230394,0.096904459,0.037396017,0.012059164,0.103230394,0.086479846,-0.077238754,-0.064741437,-0.15963177,-0.081397034,-0.115804964,-0.084625814,-0.106119617,-0.133434708,0.065201218,-0.057364828,-0.078730695,0.042952685,0.098762948,-0.121948543,-0.126946701,-0.199542749,-0.128470219,0.000904784,0.116472836,-0.081834151,-0.056422135,0.070917627,0.033617839,0.000465797,0.123025901,-0.0330778,0.011049115
Battery.Assault.Per.100K,0.776912647,0.181729596,0.055832295,0.034041938,0.474433639,0.454351862,-0.098821422,0.102498707,0.087722415,0.111236716,0.107291635,0.008159768,0.399585494,0.274864343,-0.391394063,-0.296238945,-0.179846201,0.020286372,0.410350004,0.048251492,-0.104092591,0.124262554,0.051628719,-0.123818352,1,0.506941274,-0.009199094,0.600664736,0.65462796,0.692958781,0.672827387,0.417589569,0.412351657,0.317077963,0.469891635,0.517388857,0.300863724,0.136119293,0.162432822,0.29948104,0.515993688,-0.31858833,-0.055351112,-0.220914006,-0.515993688,0.081654566,0.167145166,0.260592275,0.286321562,0.239820484,0.404443737,0.185531658,0.294921211,0.374277591,-0.079045196,0.042334045,0.101394486,0.083744101,0.145822849,0.240444701,0.179381494,0.426410609,0.317507521,-0.225444358,-0.220619424,0.401917741,0.060014503,0.075126629,0.02162603,-0.060217718,-0.12708537,0.057984991,-0.119354812
Sexual.Assault.Per.100k,0.606855381,0.029276248,0.045831988,-0.000810549,0.384419428,0.395717218,-0.119087409,-0.036790866,0.134641706,0.128361871,0.084850283,-0.077814688,0.235821898,0.048164082,-0.232445203,-0.116878476,-0.27466755,-0.062065671,0.390079683,0.06062661,-0.166577155,0.210465763,0.059247677,-0.259507438,0.506941274,1,0.061306165,0.422330906,0.55475168,0.538697135,0.398810553,0.220334604,0.183948792,0.198434202,0.335637854,0.316245225,0.078483455,0.125055051,0.141457288,0.154325181,0.306059051,-0.216450146,-0.050486315,-0.103839613,-0.306059051,-0.032867703,-0.110843118,0.080797403,0.065914434,0.198424817,0.163142802,0.333211041,0.049852201,0.212787914,-0.040201996,-0.016808983,0.066875333,0.008745235,0.120540676,0.266831203,0.345188392,0.237243276,0.28945961,-0.046892741,-0.084968951,0.184877395,-0.031392237,0.059705318,-0.027499368,0.010449758,-0.035311725,0.03708426,-0.070858944
Percent.Cannabis.Arrests,-0.028964872,-0.252993334,0.397863685,0.392305986,0.100479301,0.117393762,0.194041597,-0.088467928,0.304245362,0.282306701,0.139961384,0.078330009,0.135282595,0.085032385,-0.173195763,-0.1908856,-0.022536596,-0.021469004,-0.08587782,-0.61302806,-0.299607073,0.21628839,0.057156452,-0.045736261,-0.009199094,0.061306165,1,-0.029158843,0.026963815,-0.241760477,0.182775883,0.121238803,-0.177501717,0.00269679,0.001024689,-0.084680827,-0.135182029,-0.078376944,-0.074704989,-0.135407023,-0.11263347,-0.241287555,0.33686422,0.353004558,0.11263347,-0.347321825,-0.248301492,-0.424409539,-0.262295113,-0.262013468,-0.208745952,0.046626697,-0.276970673,-0.287493108,-0.150357779,-0.206210442,-0.155383598,0.005054597,0.015105175,-0.090314082,0.084242502,-0.199857806,-0.095294154,0.36393587,0.361276587,-0.272562395,-0.421489761,-0.300677859,0.048781008,0.027451248,-0.162669649,0.019912286,0.085290435
