Prop Female household no Children,Female Household with Children under 6,Prop Female Household with Children under 18,Prop Female Household,Prop Male Household No Children,Prop Male Household with children under 6,Prop Male Household with children under 18,Prop Male Household,Prop Other Family Type (Not Married),Prop Married no children under 18,Prop Married with children under 6,Prop Married with Children under 18,Prop Married-Couple Family,Prop Female Poverty 75+,Prop Female Poverty 65-74,Prop Female Poverty 55-64,Prop Female Poverty 45-54,Prop Female Poverty 35-44,Prop Female Poverty 25-34,Prop Female Poverty 18-24,Prop Female 17 and Under,Prop Female Poverty,Prop Male Poveryy 75+,Prop Male Poverty 65-74,Prop Male Poverty 55-64,Prop Male Poverty 45-54,Prop Male Poverty 35-44,Prop Male Poverty 25-34,Prop Male Poverty 18-24,Prop Male Poverty Under 17,Prop Male Poverty,Prop 3 Earner,Prop 2 Earner,Prop 1 Earner,Prop No Earners,County
5.949040296,2.491862162,10.450106634,16.399146930,5.017398137,1.010214390,4.130654394,9.148052531,25.547199461,51.116848131,3.636771804,23.335952408,74.452800539,0.518052377,0.664251208,0.963005339,0.928044750,0.553012967,1.064708874,1.001144165,2.237477752,7.929697432,0.276506484,0.254258835,0.870836512,0.715102975,0.562547674,0.476735317,0.584795322,1.290363590,5.031146707,8.755191380,43.495341789,29.644180043,18.105286789,CHRISTIAN
6.971816063,2.225047680,9.917355372,16.889171435,2.860775588,1.674083492,3.390548845,6.251324433,23.140495868,51.006569188,6.547997457,25.852934944,76.859504132,0.462992734,0.186483184,0.366535914,0.578740917,0.887402739,1.524017748,1.163912289,2.347115941,7.517201466,0.237926821,0.167191820,0.237926821,0.643045463,0.462992734,0.559449553,0.617323645,2.160632757,5.086489615,9.832591651,44.013562195,29.900402628,16.253443526,CLARK
4.373650108,4.319654428,11.177105832,15.550755940,2.780777538,0.998920086,7.532397408,10.313174946,25.863930886,52.186825054,5.453563715,21.949244060,74.136069114,0.305600122,0.488960196,1.115440446,1.367560547,0.687600275,1.780120712,1.268240507,2.383680953,9.397203759,0.191000076,0.351440141,0.786920315,1.130720452,0.152800061,0.977920391,0.901520361,2.154480862,6.646802659,7.127429806,38.444924406,34.746220302,19.681425486,CLAY
5.956678700,1.136122319,6.891059673,12.847738373,2.909322574,1.337863665,4.353365895,7.262688469,20.110426842,48.375451264,6.360161393,31.514121894,79.889573158,0.633802817,0.481690141,0.476056338,0.394366197,0.625352113,0.783098592,0.560563380,1.211267606,5.166197183,0.163380282,0.197183099,0.673239437,0.281690141,0.383098592,0.461971831,0.329577465,1.371830986,3.861971831,14.164366107,42.620513910,29.953280951,13.261839032,CLINTON
8.185750428,2.938055986,12.054190810,20.239941239,3.256345385,1.828123725,4.709050845,7.965396229,28.205337468,46.698767649,4.945727577,25.095894883,71.794662532,0.342935528,0.430228208,0.956062684,1.124412853,0.981003450,1.614914578,3.807623561,2.494076568,11.751257430,0.147566197,0.361641102,0.818888473,0.482188137,1.097393690,1.454877998,2.918069585,2.423411065,9.704036247,6.790173835,41.434750673,36.546151963,15.228923529,COLES
12.458375781,1.812036770,11.434643852,23.893019633,5.029624786,0.820235748,3.217756964,8.247381750,32.140401383,39.521593910,7.064671069,28.338004707,67.859598617,0.507219524,0.522264253,0.832948619,0.814011334,1.036762857,1.292620570,1.087054682,2.420858495,8.513740334,0.215667071,0.328200868,0.685089875,0.640928826,0.650115259,0.823664873,0.856771062,2.428254352,6.628692187,12.847713223,41.115689564,33.420340833,12.616256380,COOK
5.642941408,2.988596146,8.906802989,14.549744396,3.873377900,1.258356272,3.165552497,7.038930397,21.588674794,50.235941801,6.842312230,28.175383405,78.411325206,0.559778446,0.724765777,0.736550586,0.630487302,0.377113900,1.314006246,0.807259443,1.408284721,6.558246420,0.312297449,0.436037947,0.618702492,0.477284780,0.748335396,0.418360733,0.883860704,1.154911319,5.049790820,12.013370035,41.191506095,30.495477782,16.299646087,CRAWFORD
3.544648943,3.476482618,8.350374915,11.895023858,2.624403545,0.102249489,2.147239264,4.771642808,16.666666667,52.385821404,6.987048398,30.947511929,83.333333333,0.382498367,0.643716765,0.671704450,0.764996735,0.970239761,1.707248811,0.895605933,1.679261125,7.715271947,0.317193768,0.429144510,0.522436794,0.475790652,1.026215132,0.429144510,0.578412165,2.509562459,6.287899991,9.781867757,45.807770961,27.130197682,17.280163599,CUMBERLAND
4.547521601,2.046384720,8.640291041,13.187812642,3.387903593,0.613915416,3.001364256,6.389267849,19.577080491,49.681673488,7.662573897,30.741246021,80.422919509,0.367880249,0.399594063,0.792845363,0.672332868,0.475707218,0.634276291,1.097297983,2.016998605,6.456932640,0.031713815,0.107826969,0.589876950,0.133198021,0.355194723,0.532792084,0.919700622,1.902828872,4.573132056,13.301500682,41.246020919,30.354706685,15.097771714,DEWITT
6.852780807,2.865866957,12.030534351,18.883315158,2.665212650,0.863685932,4.157033806,6.822246456,25.705561614,43.725190840,6.774263904,30.569247546,74.294438386,0.190656808,0.231007455,0.464032442,0.553812632,0.829205798,1.276089215,3.514541364,2.073014496,9.132360210,0.122060708,0.195700639,0.360129526,0.335919137,0.421664262,1.027932735,3.063622883,1.809726523,7.336756413,11.842966194,44.505997819,30.922573610,12.728462377,DEKALB
3.888669562,2.427951046,9.198578760,13.087248322,3.375444137,1.559415713,2.704303198,6.079747335,19.166995657,48.006316621,8.487958942,32.826687722,80.833004343,0.680447446,0.458786535,0.577349348,0.623743492,0.752616114,0.953657405,0.530955204,1.525851848,6.103407392,0.355688438,0.293829579,0.407237486,0.726841590,0.360843342,0.335068818,0.293829579,2.309397392,5.082736224,10.659297276,42.874062377,32.431898934,14.034741413,DOUGLAS
6.382756226,0.956221295,6.450101646,12.832857872,3.011302318,0.359733295,2.024545523,5.035847841,17.868705713,46.503057733,8.381367488,35.628236554,82.131294287,0.262341479,0.264192021,0.405704022,0.399281554,0.484950743,0.541882110,0.428672509,1.004190932,3.791215370,0.111359059,0.179284820,0.330049529,0.280084907,0.300658575,0.365645240,0.393838785,1.018995265,2.979916181,15.507851388,46.477123472,28.047903090,9.967122050,DUPAGE
9.103182257,2.545805207,10.318225651,19.421407907,2.410800386,1.215043394,5.053037608,7.463837994,26.885245902,48.813886210,5.380906461,24.300867888,73.114754098,0.638903409,0.423999535,1.277806819,0.696985538,0.772492304,0.528547366,1.022245455,1.196491839,6.557472266,0.081314979,0.313643492,0.859615496,0.946738689,0.615670558,0.418191323,0.371725620,2.178079805,5.784979962,8.486017358,39.807135969,34.117647059,17.589199614,EDGAR
