Prop of Paraphernalia Drug Arrests per 100K,Prop Cannabis Arrests Per 100K,Prop Needle/Syringe Arrests per 100K,Prop Controlled Substance Arrests per 100K,Prop of Meth Arrests Per 100K,MVT Per 100K,Theft per 100K,Burglary per 100K,Robbery Per 100K,Homocides Per 100k,County,Year,HTIS per 100K,Arson per 100K,Population,HTS Per 100K,Battery/Assault Per 100K,Sexual Assault Per 100k,Total Index Crime Rates per 100K
765.370138018,1207.653701380,9.410288582,219.573400251,72.145545797,21.957340025,1022.584692597,238.393977415,9.410288582,0,MCDONOUGH,2015,0,21.957340025,31880,0,207.026348808,65.872020075,1587.2
262.298923143,218.690913588,4.556060700,114.226950401,2.278030350,17.247944078,854.912247017,119.108444008,5.857792328,0.650865814,MCHENRY,2015,0,6.834091050,307283,0,67.690044682,22.780303499,1095.1
312.534111605,476.269813456,6.319623580,170.629836666,5.170601111,65.494280741,1308.736592344,312.534111605,33.896162839,0,MCLEAN,2015,0,5.745112346,174061,0,168.331791728,59.174657160,1953.9
55.688146380,47.732696897,0,7.955449483,0,0,350.039777247,151.153540175,0,0,MENARD,2015,0,0,12570,0,87.509944312,0,588.7
12.543116965,0,0,0,0,6.271558482,376.293508937,131.702728128,0,0,MERCER,2015,0,0,15945,0,0,0,514.3
169.029120455,166.063697290,17.792538995,65.239309649,14.827115829,17.792538995,373.643318902,154.202004626,2.965423166,2.965423166,MONROE,2015,0,0,33722,0,5.930846332,5.930846332,563.4
429.169930856,228.209407677,3.406110562,224.803297115,20.436663374,30.654995061,1147.859259512,309.956061174,6.812221125,0,MONTGOMERY,2015,0,10.218331687,29359,0,122.619980245,6.812221125,1634.9
349.279967935,366.457671276,2.862950557,148.873428956,160.325231183,20.040653898,1517.363795127,320.650462367,11.451802227,2.862950557,MORGAN,2015,0,14.314752784,34929,0,157.462280626,20.040653898,2064.2
26.959627957,26.959627957,0,0,0,0,94.358697850,13.479813979,0,0,MOULTRIE,2015,0,0,14837,0,13.479813979,0,121.3
245.752135932,245.752135932,17.279447058,42.238648363,0,21.119324182,378.227896707,101.756743784,3.839877124,0,OGLE,2015,0,3.839877124,52085,0,28.799078429,5.759815686,543.3
171.365424757,328.316935282,14.947762907,150.545326422,3.203092052,98.228156247,2209.065818203,705.747948686,177.771608860,8.541578804,PEORIA,2015,0,27.226282438,187319,0,264.255094251,47.512532098,3538.3
369.139904024,355.297157623,27.685492802,244.555186416,69.213732004,41.528239203,618.309339240,115.356220007,4.614248800,4.614248800,PERRY,2015,0,0,21672,0,119.970468808,4.614248800,909
292.130728501,225.184103220,0,60.860568438,6.086056844,6.086056844,566.003286471,261.700444282,0,0,PIATT,2015,0,6.086056844,16431,0,127.807193719,24.344227375,992
330.795156660,343.277992760,0,74.897016602,6.241418050,12.482836100,574.210460617,118.586942953,18.724254151,0,PIKE,2015,0,0,16022,0,43.689926351,6.241418050,773.9
34.393809114,17.196904557,0,0,0,0,34.393809114,34.393809114,0,0,PULASKI,2015,0,0,5815,0,34.393809114,0,103.2
51.599587203,68.799449604,17.199862401,0,0,0,257.997936017,120.399036808,0,0,PUTNAM,2015,0,0,5814,0,0,0,378.4
398.551826949,295.110894764,94.313791110,340.746600140,51.720466093,21.296662509,565.882746661,136.907116128,9.127141075,0,RANDOLPH,2015,0,6.084760717,32869,12.169521434,60.847607168,33.466183942,845.8
354.896955358,336.218168234,31.131311873,80.941410871,273.955544487,112.072722745,1575.244380798,323.765643484,6.226262375,0,RICHLAND,2015,0,24.905049499,16061,0,149.430296993,74.715148496,2266.4
288.231790392,461.444719060,17.115902042,156.781662707,11.638813389,62.986519516,1832.086154605,395.035019136,41.762800983,2.053908245,ROCK ISLAND,2015,0,12.323449470,146063,0,260.161711042,40.393528820,2646.8
89.387290752,109.702584105,28.441410694,162.522346823,227.531285552,121.891760117,1239.232894523,735.413619373,16.252234682,8.126117341,SALINE,2015,0,28.441410694,24612,0,227.531285552,12.189176012,2389.1
187.440011658,311.059965728,8.040322216,201.008055398,30.151208310,126.132554762,2358.327009955,697.497952230,138.695558224,5.527721523,SANGAMON,2015,0,32.663809002,198997,0.502520138,535.183947497,73.870460359,3968.4
272.851296044,313.778990450,0,54.570259209,54.570259209,0,286.493860846,40.927694407,0,0,SCHUYLER,2015,0,13.642564802,7330,0,40.927694407,0,382
38.431975404,38.431975404,0,0,0,19.215987702,115.295926211,96.079938509,0,0,SCOTT,2015,0,0,5204,0,19.215987702,0,249.8
371.915820029,108.853410740,27.213352685,149.673439768,31.748911466,27.213352685,285.740203193,68.033381713,0,0,SHELBY,2015,0,0,22048,0,49.891146589,4.535558781,435.4
229.933503682,346.970033380,36.127031675,169.721784224,10.913374152,161.066349552,1634.748183300,552.066202786,118.541822684,12.042343892,ST. CLAIR,2015,0,23.332041290,265729,0,438.040259061,57.577456732,2997.4
103.216927576,137.622570101,0,86.014106313,17.202821263,68.811285051,619.301565457,120.419748839,0,0,STARK,2015,0,34.405642525,5813,0,68.811285051,17.202821263,929
193.819317325,223.968988909,0,83.988370841,34.456767524,30.149671584,1358.888769247,340.260579304,30.149671584,2.153547970,STEPHENSON,2015,0,19.381931733,46435,0,86.141918811,40.917411435,1908
374.335885400,325.701695565,5.895053313,112.006012954,30.949029895,46.423544843,1204.801520924,323.491050572,9.579461634,0.736881664,TAZEWELL,2015,0,5.895053313,135707,0,184.957297708,48.634189835,1824.5
114.632888176,74.511377314,11.463288818,74.511377314,45.853155270,45.853155270,951.452971858,246.460709578,0,0,UNION,2015,0,5.731644409,17447,0,131.827821402,28.658222044,1410
94.069837447,150.511739916,0,222.004816376,79.018663456,127.934978928,2250.150511740,1230.433473811,120.409391933,0,VERMILION,2015,0,18.813967489,79728,0,529.299618704,120.409391933,4397.5
658.065633388,285.739025024,60.611308338,103.905100009,77.928825006,17.317516668,891.852108408,303.056541692,0,0,WABASH,2015,0,43.293791670,11549,0,207.810200017,0,1463.3
207.004587669,257.357054940,5.594718586,55.947185857,0,16.784155757,945.507440976,279.735929283,22.378874343,0,WARREN,2015,0,5.594718586,17874,0,173.436276155,50.352467271,1493.8
153.449117668,139.499197880,13.949919788,111.599358304,41.849759364,48.824719258,823.045267490,216.223756713,0,0,WASHINGTON,2015,0,6.974959894,14337,0,551.021831624,0,1646.1
139.031614580,175.300731427,6.044852808,102.762497733,163.211025812,18.134558424,586.350722360,199.480142659,0,0,WAYNE,2015,0,0,16543,0,163.211025812,30.224264039,997.4
55.656045638,97.398079866,6.957005705,55.656045638,34.785028524,62.613051343,695.700570474,264.366216780,0,0,WHITE,2015,0,20.871017114,14374,0,215.667176847,6.957005705,1266.2
101.976228989,233.842042338,12.307475913,130.107602504,0,31.647795204,1186.792320135,314.719741191,17.582108446,0,WHITESIDE,2015,0,3.516421689,56876,0,109.009072368,52.746325339,1716
173.178741762,254.734695128,20.571358541,99.938869509,1.167169279,52.230825232,999.096902770,273.847092071,33.264324450,2.626130878,WILL,2015,0,12.109381269,685419,0,91.185099917,23.926970218,1488.3
32.831900669,85.064469914,4.477077364,89.541547278,23.877745941,67.156160458,702.901146132,305.933619866,11.938872970,4.477077364,WILLIAMSON,2015,0,4.477077364,67008,0,41.786055396,19.400668577,1158.1
127.884328798,247.797547671,26.685889749,131.003458769,0.693139993,214.180257987,1952.921931643,678.584053621,195.118908166,7.624539928,WINNEBAGO,2015,0,23.566759778,288542,0,661.948693778,68.274289358,3802.2
280.705335953,336.846403144,2.551866690,150.560134739,0,15.311200143,474.647204430,89.315334167,0,0,WOODFORD,2015,0,0,39187,0,61.244800572,12.759333452,653.3
281.599249069,203.866123024,7.333313778,111.466369423,184.799507201,68.933149512,1611.862368367,513.331964448,33.733243378,1.466662756,ADAMS,2016,0,13.199964800,68182,0,228.799389868,80.666451556,2552
128.205128205,291.375291375,0,151.515151515,46.620046620,69.930069930,1048.951048951,419.580419580,46.620046620,0,ALEXANDER,2016,0,34.965034965,8580,0,862.470862471,0,2482.5
218.990398113,140.378460329,44.921107305,179.684429221,145.993598742,33.690830479,786.119377843,196.529844461,0,0,BOND,2016,0,0,17809,0,33.690830479,0,1050
523.919520605,505.507013491,26.781828529,185.798935422,1.673864283,30.129557096,607.612734759,112.148906967,8.369321415,0,BOONE,2016,0,15.064778548,59742,0,95.410264136,51.889792776,920.6
96.645036587,110.451470385,0,13.806433798,0,0,179.483639376,13.806433798,0,0,BROWN,2016,0,0,7243,0,138.064337981,0,331.4
95.397090389,74.197736969,5.299838355,26.499191775,0,29.149110952,609.481410817,262.341998569,2.649919177,0,BUREAU,2016,0,7.949757532,37737,0,95.397090389,13.249595887,1020.2
173.659349819,194.498471798,6.946373993,27.785495971,55.570991942,55.570991942,1104.473464851,277.854959711,0,0,CARROLL,2016,0,0,14396,0,62.517365935,13.892747986,1514.3
250.626566416,272.740675217,14.742739201,81.085065605,132.684652808,7.371369600,1113.076809671,302.226153619,7.371369600,0,CASS,2016,0,0,13566,0,464.396284830,14.742739201,1909.2
120.392489031,236.502241299,13.799929573,107.544278740,10.944771730,104.689120897,2027.162068276,687.141320796,100.406384133,5.234456045,CHAMPAIGN,2016,0,12.372350651,210146,1.903438562,324.060415140,60.910033976,3322
214.519589026,110.082420684,25.403635543,79.033532799,67.743028113,19.758383200,584.283617478,149.599187084,2.822626171,0,CHRISTIAN,2016,0,0,35428,0,56.452523428,28.226261714,841.1
206.976319474,140.013392585,0,66.962926889,121.750776161,30.437694040,383.514944908,97.400620929,12.175077616,6.087538808,CLARK,2016,0,18.262616424,16427,0,66.962926889,0,614.8
130.301648316,117.271483484,0,52.120659326,45.605576911,26.060329663,605.902664669,267.118379047,6.515082416,0,CLAY,2016,0,0,15349,0,58.635741742,0,964.2
146.356493607,123.247573563,23.108920043,66.759102347,28.244235608,33.379551173,790.838597032,71.894417912,7.702973348,0,CLINTON,2016,0,2.567657783,38946,0,97.570995738,7.702973348,1011.7
134.975223726,97.995710376,11.093854005,112.787515716,109.089564381,24.036683677,918.940906738,255.158642112,38.828489017,1.848975667,COLES,2016,0,14.791805340,54084,0,251.460690777,29.583610680,1534.6
74.398380160,259.456214084,2.661187556,231.561607832,1.780506782,274.427787240,1841.560933920,414.456030289,265.869867546,16.043706272,COOK,2016,0.019145234,25.654613848,5223232,0.229742811,343.331485180,42.483274723,3223.8
249.454318678,197.484668953,10.393929945,119.530194366,259.848248623,41.575719780,711.984201226,207.878598898,0,0,CRAWFORD,2016,0,15.590894917,19242,0,249.454318678,15.590894917,1242.1
133.000831255,91.438071488,0,24.937655860,33.250207814,16.625103907,315.876974231,207.813798836,0,0,CUMBERLAND,2016,0,0,12030,0,49.875311721,24.937655860,615.1
346.973303128,551.525057590,14.337739799,241.829877938,7.646794559,44.924918036,1782.658981638,270.505357535,40.145671436,4.779246600,DEKALB,2016,0,18.161137078,104619,0,169.185329625,78.379644233,2408.7
124.215887212,55.897149245,0,62.107943606,0,0,93.161915409,62.107943606,6.210794361,0,DEWITT,2016,0,6.210794361,16101,0,18.632383082,31.053971803,217.4
248.743591045,71.069597441,5.076399817,60.916797807,5.076399817,30.458398903,517.792781359,152.291994517,5.076399817,0,DOUGLAS,2016,0,0,19699,0,192.903193055,10.152799634,908.7
179.016556618,293.784510831,8.044482772,75.725397826,0.750818392,46.979779388,1104.775634013,139.652220921,26.600423033,0.429039081,DUPAGE,2016,0,4.719429893,932316,0,43.332947198,14.480068989,1381
451.343020696,121.092029943,44.033465434,313.738441215,654.997798327,60.546014971,445.838837517,434.830471158,5.504183179,0,EDGAR,2016,0,11.008366358,18168,0,220.167327169,5.504183179,1183.4
102.324221605,73.088729718,0,43.853237831,43.853237831,0,131.559713492,146.177459436,14.617745944,0,EDWARDS,2016,0,0,6841,0,14.617745944,0,307
389.083117176,307.319273712,25.374985903,118.416600880,194.541558588,39.472200293,1285.665952408,298.860945077,8.458328634,0,EFFINGHAM,2016,0,5.638885756,35468,0,107.138829367,31.013871659,1776.2
251.006188601,203.401566625,34.621543255,112.520015580,181.763102090,43.276929069,614.532392781,242.350802787,0,0,FAYETTE,2016,0,4.327692907,23107,0,82.226165231,34.621543255,1021.3
271.096899764,215.487279299,0,97.316835813,27.804810232,76.463228138,854.997914639,305.852912554,20.853607674,0,FORD,2016,0,69.512025580,14386,0,187.682469067,62.560823022,1577.9
324.399860259,72.366122673,24.953835405,234.566052802,159.704546589,54.898437890,965.713430154,446.673653741,12.476917702,2.495383540,FRANKLIN,2016,0,7.486150621,40074,0,82.347656835,4.990767081,1577.1
222.150113571,194.693357961,7.488206075,92.354541597,17.472480843,24.960686918,619.025035569,252.102937873,17.472480843,2.496068692,FULTON,2016,0,12.480343459,40063,0,47.425305144,9.984274767,985.9
60.966316110,45.724737083,45.724737083,45.724737083,15.241579028,30.483158055,442.005791800,121.932632221,15.241579028,0,GALLATIN,2016,0,0,6561,0,106.691053193,0,716.4
445.269016698,170.686456401,111.317254174,564.007421150,178.107606679,0,601.113172542,311.688311688,0,0,GREENE,2016,0,14.842300557,13475,0,185.528756957,44.526901670,1157.7
347.945817208,346.085144388,53.959511759,193.509973206,3.721345639,24.188746651,816.835367669,143.271807085,7.442691277,0,GRUNDY,2016,0,5.582018458,53744,0,44.656147663,16.746055374,1058.7
23.196474136,0,0,23.196474136,11.598237068,34.794711204,220.366504291,81.187659476,0,0,HAMILTON,2016,0,11.598237068,8622,0,46.392948272,0,394.3
163.943095880,174.520069808,15.865460892,100.481252314,158.654608916,26.442434819,470.675339785,312.020730869,10.576973928,0,HANCOCK,2016,0,5.288486964,18909,0,47.596382675,5.288486964,877.9
104.402296851,591.613015486,0,69.601531234,69.601531234,87.001914042,435.009570211,104.402296851,0,0,HARDIN,2016,0,0,5747,0,104.402296851,0,730.8
283.639435940,291.685944761,10.058136026,92.534851441,54.313934542,28.162780873,1068.174045986,211.220856551,8.046508821,2.011627205,HENRY,2016,0,0,49711,0,78.453461005,30.174408079,1426.2
163.147201872,132.364710952,24.625992735,120.051714585,30.782490919,61.564981838,917.318229391,326.294403743,18.469494551,3.078249092,IROQUOIS,2016,0,9.234747276,32486,0,70.799729114,24.625992735,1431.4
291.022689905,445.577112792,16.441959882,205.524498520,62.479447550,67.412035515,2148.964156527,563.959223939,75.633015455,6.576783953,JACKSON,2016,0,11.509371917,60820,0,231.831634331,78.921407432,3184.8
20.964360587,20.964360587,0,31.446540881,0,10.482180294,461.215932914,220.125786164,0,0,JASPER,2016,0,0,9540,0,0,0,691.8
345.687997089,280.709050268,15.594947237,319.696418360,241.721682175,51.983157457,1832.406300359,691.375994178,62.379788948,2.599157873,JEFFERSON,2016,0,44.185683838,38474,0,504.236627333,59.780631076,3248.9
645.386359672,300.889586604,248.560962847,532.007674865,126.460840747,52.328623757,1203.558346415,392.464678179,0,0,JERSEY,2016,0,0,22932,0,78.492935636,78.492935636,1805.3
375.620444484,397.978804275,13.415015874,71.546751330,62.603407414,71.546751330,594.732370433,169.923534410,8.943343916,0,JO DAVIESS,2016,0,8.943343916,22363,0,111.791798954,26.830031749,992.7
54.983897573,78.548425104,7.854842510,54.983897573,31.419370042,39.274212552,416.306653052,133.532322677,0,0,JOHNSON,2016,0,0,12731,0,267.064645354,0,856.2
107.729446801,188.761543784,1.128057035,75.015792798,0.188009506,54.898775682,1007.542941371,191.393676864,35.909815600,2.068104563,KANE,2016,0,9.212465782,531888,0,125.026321331,25.757302289,1451.8
106.676148991,158.236287670,24.002133523,135.123122055,0,82.674015468,1545.915192462,459.596408570,90.674726642,9.778646991,KANKAKEE,2016,0,24.891101431,112490,0,139.567961597,24.891101431,2378
131.272226775,166.278153915,3.182357013,29.436802368,0,36.597105646,754.218612015,140.819297813,12.729428051,0.795589253,KENDALL,2016,0,8.751481785,125693,0,44.552998178,27.050034608,1025.5
169.766332856,135.431568908,3.814973772,135.431568908,123.986647592,43.872198379,1669.051025274,484.501669051,49.594659037,1.907486886,KNOX,2016,0,1.907486886,52425,3.814973772,223.175965665,34.334763948,2508.3
