CASEID,RESPONSE,RESIDUAL,_DEATHS_PER_100K,BEACHES_PER_COUNTY,_POP_PER_SQUARE_MILE,___GDP_OF_STATE_GDP,_POP_PERCENT_MALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP___STATE_TOTAL,_POP___BTWN_0_29,_POP___BTWN_30_59,_POP___BTWN_60_PLUS,DEATHS,_POSITIVES_PER_1OOK,COUNTY,TPOSITIVE
13,25.3215,4.67851,30,0,58.8524,0.0895812,56.6299,84.23,12.6197,1.09899,0.597509,0.170717,1.28304,31.876,0.17601,35.4371,50.8709,27.9229,825,963,"DESOTO",361
14,5.39125,21.6088,27,1,23.6879,0.0297092,55.3533,87.3952,9.83234,0.580838,0.413174,0.0179641,1.76048,4.01796,0.0784062,31.0299,49.012,31.1198,10,359,"DIXIE",60
15,-6.11196,24.112,18,6,1246.96,6.38444,48.4575,60.8023,30.5736,0.452651,5.0643,0.121872,2.98522,10.1366,4.46109,40.0915,55.042,20.1016,3,209,"DUVAL",1990
16,13.1079,-7.10793,6,7,480.997,1.52821,49.4967,68.92,23.208,0.899428,3.40756,0.179695,3.38537,5.81966,1.48143,40.3199,52.2492,23.4314,57,312,"ESCAMBIA",985
17,5.05321,6.94679,12,3,231.066,0.233446,48.1203,83.9498,10.7391,0.399761,2.6038,0.091017,2.21653,10.5428,0.526153,27.596,42.1801,39.156,38,185,"FLAGLER",207
18,8.97447,-4.97447,4,10,21.9364,0.036681,55.7686,84.0576,12.3978,0.996933,0.485685,0.0766871,1.98534,5.59816,0.0551003,30.3511,50.7924,31.6547,5,17,"FRANKLIN",2
19,-2.35823,2.35823,0,0,88.9419,0.13092,47.479,41.6503,55.7698,0.583954,0.729943,0.135094,1.13087,10.509,0.215472,36.471,50.8302,24.9009,0,662,"GADSDEN",304
20,22.0047,-13.0047,9,0,52.16,0.0416027,51.6488,91.2029,5.60364,0.684706,0.580631,0.120508,1.80762,6.1021,0.0857116,37.1878,48.406,27.7005,4,142,"GILCHRIST",26
21,-1.21285,1.21285,0,0,17.0273,0.0292011,56.2445,78.8327,13.8298,5.18799,0.706791,0.102011,1.34072,21.1454,0.064434,28.4538,48.9872,34.0936,0,831,"GLADES",114
22,0.984042,6.01596,7,1,28.6596,0.0408331,58.5313,79.8194,17.044,0.661965,0.476367,0.0247464,1.97352,4.62138,0.0758897,30.3328,53.9656,28.8481,1,49,"GULF",8
23,4.70035,-4.70035,0,0,27.8405,0.0424219,57.8826,62.949,32.8442,1.05521,0.81761,0.0279525,2.30608,9.79734,0.0671852,38.1971,53.9623,24.7659,0,1894,"HAMILTON",271
24,27.8809,-13.8809,14,0,42.7038,0.120368,52.7656,88.4382,7.46926,1.17453,1.13048,0.110112,1.67737,43.975,0.127915,43.6264,49.4696,21.5562,2,719,"HARDEE",196
25,29.8173,-29.8173,0,0,36.0416,0.131487,53.3329,83.6293,12.056,2.0334,0.976995,0.19973,1.10453,54.3026,0.195105,43.3175,52.185,18.9263,0,1535,"HENDRY",638
26,18.1673,29.8327,48,1,403.52,0.412794,48.1885,89.8033,5.97857,0.486208,1.44448,0.0869725,2.20051,14.1823,0.896108,30.4451,44.8998,34.8948,20,73,"HERNANDO",140
27,14.9605,-11.9605,3,0,103.662,0.274495,48.8646,85.4407,10.4948,0.663037,1.55942,0.0958036,1.74628,20.8103,0.494964,28.1454,38.8707,42.4382,5,162,"HIGHLANDS",171
28,8.64514,0.35486,9,1,1410.1,8.64483,48.921,74.2806,17.8442,0.524954,4.42943,0.130769,2.79006,29.2378,6.74617,39.3422,54.986,19.9066,9,251,"HILLSBOROUGH",3613
29,19.8813,-12.8813,7,0,40.7469,0.0349972,53.0677,88.9921,6.74642,1.04225,0.667454,0.179699,2.37203,2.9676,0.0914442,35.3545,51.2143,26.6211,99,159,"HOLMES",31
30,10.0152,-10.0152,0,4,312.948,0.578131,47.9128,86.9128,9.48206,0.437067,1.57801,0.0501865,1.5399,12.6819,0.739052,27.0314,41.0131,41.1237,0,130,"INDIAN RIVER",205
31,18.1582,-11.1582,7,0,52.6198,0.129646,55.0978,69.1957,26.8544,0.875686,0.755615,0.293965,2.02464,5.0119,0.226791,33.864,53.0835,26.1609,11,660,"JACKSON",319
32,-7.97853,9.97853,2,0,23.893,0.0327351,52.4286,63.0809,34.3085,0.412934,0.636898,0.0349944,1.52576,3.85638,0.0670819,29.2903,49.72,31.502,1,224,"JEFFERSON",32
33,18.6887,9.31133,28,0,16.081,0.022604,57.1003,83.8869,13.5021,0.813101,0.297755,0.114521,1.38571,14.2464,0.0409966,38.628,55.7261,21.4155,4,149,"LAFAYETTE",13
34,22.0596,-22.0596,0,0,380.059,0.895737,48.392,83.5451,11.3295,0.607302,2.26146,0.185977,2.07072,16.0473,1.67374,31.3864,45.3409,33.6627,0,130,"LAKE",464
35,29.9836,-25.9836,4,1,961.287,2.9244,48.9487,86.7933,9.07899,0.502511,1.75866,0.112773,1.75375,21.8965,3.54288,30.0326,44.6541,35.814,16,376,"LEE",2836
36,14.1645,2.83549,17,0,438.534,1.53162,47.3987,61.871,31.6678,0.34222,3.75792,0.0690594,2.29195,6.58013,1.37329,48.4951,57.0341,18.673,132,160,"LEON",469
37,11.7217,-8.72169,3,1,36.4669,0.119184,48.8178,87.118,9.3819,0.73093,0.748099,0.090753,1.93034,8.5872,0.191415,31.9254,45.9652,32.7005,8,245,"LEVY",100
38,2.46286,-0.462864,2,0,10.116,0.0196909,61.6649,77.0131,19.5578,1.19428,0.449332,0.0472981,1.73821,7.17749,0.0397055,35.509,60.0095,20.2554,1,2590,"LIBERTY",219
39,-4.27267,16.2727,12,0,19.1218,0.0529732,52.8847,59.4743,37.784,0.707,0.491122,0.0269847,1.51654,5.61282,0.0869934,33.6931,51.6218,27.6486,1,426,"MADISON",79
40,16.0598,-0.0598102,16,5,531.433,1.36229,48.2828,86.1582,9.14386,0.506009,2.26767,0.093452,1.8308,16.7342,1.85384,30.206,45.0327,34.9138,3,349,"MANATEE",1377
41,15.8574,13.1426,29,0,227.258,0.998853,47.9592,82.1391,13.4731,0.520589,1.80039,0.0875056,1.97929,13.6378,1.69009,30.9531,43.5111,36.0754,115,86,"MARION",311
42,17.3397,-15.3397,2,5,296.339,0.751141,49.4171,90.1406,5.74786,0.934051,1.47534,0.177737,1.52444,13.9412,0.755479,27.2205,43.0366,38.8542,8,727,"MARTIN",1170
43,23.7775,-12.7775,11,14,1458.84,15.7737,48.5489,78.8353,17.9476,0.279079,1.65731,0.0466399,1.23408,69.0594,12.9656,35.7713,55.541,21.9252,18,794,"MIAMI-DADE",21917
44,6.20153,-1.20153,5,23,76.6364,0.460175,51.988,89.2839,6.86286,0.517147,1.42615,0.10263,1.80735,24.9484,0.352251,27.4754,52.1879,31.2061,4,172,"MONROE",129
45,10.4549,-9.45491,1,4,132.457,0.239315,49.2287,90.6026,6.04553,0.499814,1.02409,0.0838848,1.7441,4.47852,0.40298,32.0533,48.292,30.0541,1,107,"NASSAU",92
46,16.5648,-13.5648,3,7,222.87,1.13695,50.6574,81.1226,10.3436,0.72611,3.25567,0.230136,4.32192,9.69417,0.973125,39.5023,53.3939,22.3318,6,160,"OKALOOSA",332
