_POSITIVES_PER_1OOK,_DEATHS_PER_100k,COUNTY,_Percent C_Female,_Percent C_Male,_Percent C_SexUnkn,_Percent  C_Age_0_4,_Percent   C_Age_5_14,_Percent  C_Age_15_24,_Percent  C_Age_25_34,_Percent  C_Age_35_44,_Percent C_Age_45_54,_Percent   C_Age_55_64,_Percent   C_Age_65_74,_Percent   C_Age_75_84,_Percent   C_Age_85plus,_Percent   C_Age_Unkn,C_AgeMedian,_Percent   C_RaceWhite,_Percent   C_RaceBlack,_Percent   C_RaceOther,_Percent   C_RaceUnknown,_Percent   C_HispanicYES,_Percent   C_HispanicNO,_Percent   C_HispanicUnk,_Percent   C_EDYes_Res,_Percent   C_EDYes_NonRes,_Percent   C_HospYes_Res,_Percent   C_HospYes_NonRes,Percent  C_Men,Percent  C_Women,Percent  C_FLRes,Percent  C_NotFLRes,Percent  C_FLResOut,_PUI_Percent_Age_0_4,_PUI_Percent_Age_5_14,_PUI_Percent_Age_15_24,_PUI_Percent_Age_25_34,_PUI_Percent_Age_35_44,_PUI_Percent_Age_45_54,_PUI_Percent_Age_55_64,_PUI_Percent_Age_65_74,_PUI_Percent_Age_75_84,_PUI_Percent_Age_85plus,_PUI_Percent_Age_Unkn,PUIAgeMedian,_PUIFemale_Percent,_PUIMale_Percent,PUIAgeAvrg,TPositive,Deaths,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC
2590,12,LIBERTY,2.3,97.7, -, -, -,5.9,26,24.7,24.7,16.4,2.3, -, -, -,41,52.5,43.8,2.3,1.4,3.2,60.3,36.5,2.3, -,0.5, -,97.7,2.3,100, -, -,0.135501355,0.180668473,7.091237579,31.120144535,25.338753388,17.976513098,12.104787715,4.200542005,1.264679313,0.225835592,0.361336947,38,7.619047619,92.380952381,1,219,1,61.664892988,38.335107012,77.013125222,19.557762800,1.194276930,0.449331914,0.047298096,1.738205037,7.177486106
1894,14,HAMILTON,11.2,88.8, -,0.7,1.5,9.7,30.6,20.5,18.7,14.9,3.4,1.1, -, -,38,44.8,45.1,9.7,0.4,13.8,32.5,53.7,7.8,0.4,2.6, -,88.6,11.4,98.9,1.1, -,0.665642601,1.075268817,7.936507937,27.188940092,20.788530466,16.077828981,12.186379928,8.499743984,3.533026114,2.150537634,0.204813108,41,21.876620010,78.123379990,9,271,2,57.882599581,42.117400419,62.948986723,32.844164920,1.055206150,0.817610063,0.027952481,2.306079665,9.797344514
78,2,BAY,43.9,56.1, -,2.2,0.7,11.5,20.1,14.4,23,15.1,7.9,8.6,0.7, -,47,81.3,9.4,4.3,5,28.8,64,7.2,27.3,2.1,12.2,1.4,55.9,44.1,95.9,4.1, -,1.194217473,0.974230044,6.568196103,12.256442489,13.293526084,16.719044626,19.484600880,13.859208045,9.050911376,5.845380264,1.728472659,54,56.885090218,43.114909782,28,145,4,49.614382013,50.385617987,81.702439998,11.679718491,0.828444521,2.279166914,0.160831575,3.349398501,6.706352847
258,3,COLUMBIA,51.1,48.9, -,2.8,5.6,11.1,22.2,15,17.8,15.6,6.7,2.8,1.7, -,40,46.7,45.6,6.7,1.1,8.3,88.3,3.3,3.9, -,8.3, -,49.5,50.5,98.9,1.1, -,2.544378698,2.958579882,6.952662722,11.952662722,12.485207101,13.136094675,19.644970414,16.153846154,8.461538462,5.887573964,0.266272189,55,58.300455235,41.699544765,63,182,2,51.580783796,48.419216204,77.799526261,18.457370608,0.578698779,1.055274244,0.085102762,2.024027346,6.364268187
106,14,BAKER,60,40, -, -, -,10,10,13.3,3.3,16.7,20,16.7,10, -,63,70,23.3,6.7, -, -,96.7,3.3,26.7, -,36.7, -,40,60,100, -, -,3.640776699,1.699029126,11.529126214,15.898058252,14.563106796,17.354368932,17.961165049,12.5,8.009708738,3.883495146,0.242718447,48,58.965102286,41.034897714,16,30,4,52.608005643,47.391994357,82.994180920,14.008111444,0.440839358,0.708869688,0.031740434,1.816258156,2.666196438
159,0,HOLMES,50,50, -,3.3, -,6.7,16.7,33.3,23.3,6.7,10,3.3, -, -,42,76.7,10,3.3,10, -,86.7,13.3,13.3, -,3.3, -,48.4,51.6,96.8,3.2, -,1.570680628,1.701570681,7.591623037,11.649214660,12.172774869,16.753926702,19.371727749,19.371727749,8.246073298,2.748691099,0.130890052,54,57.575757576,42.424242424,5,31,0,53.067720902,46.932279098,88.992144581,6.746418853,1.042254967,0.667453920,0.179699132,2.372028546,2.967602814
727,11,MARTIN,45.3,54.2,0.5,3.5,5.5,14.6,17.8,18.9,16.3,12.1,5.4,4.2,2.5,0.2,39,34.2,3.9,33,28.9,51.6,22.8,25.6,16.1,0.2,9.9,0.1,54.4,45.1,98.9,1.1, -,1.846110485,2.240698985,6.947576099,9.977452086,11.443066516,12.852311161,18.714768884,18.799323563,13.105975197,5.073280722,0.310033822,57,52.531268612,47.468731388,82,1170,18,49.417072686,50.582927314,90.140573730,5.747862186,0.934050910,1.475340559,0.177736900,1.524435716,13.941160386
251,7,HILLSBOROUGH,53.7,46.3,0,1.9,3.5,13.3,20.4,15.5,14.7,13,8.9,6.1,4.3,0.1,42,38.9,22,18.6,20.5,27,47,26,21,0.3,15,0.2,46.3,53.7,98.3,1.7, -,2.337276416,2.744918757,8.248090367,14.966569518,14.536068728,15.669466827,17.355277444,13.903651637,7.478522582,3.329714079,0.203821171,49,57.614536065,42.385463935,458,3613,99,48.921001498,51.078998502,74.280598070,17.844188274,0.524953928,4.429433609,0.130768717,2.790057402,29.237769402
349,29,MANATEE,54.1,45.7,0.2,1.5,3.5,8,13.7,15.1,15.2,14.5,12.1,10.7,6.4, -,50,65.5,15.5,8.6,10.5,32.5,53.8,13.7,12.4,0.1,17.3,0.1,45.7,54.1,99.3,0.7, -,1.698597669,2.060701824,5.530317993,9.302784910,10.408848509,13.299098031,19.329778129,21.443149648,13.272763184,4.582263480,0.678122325,59,58.125537403,41.874462597,177,1377,115,48.282787352,51.717212648,86.158209976,9.143862937,0.506008535,2.267667878,0.093452027,1.830798648,16.734244216
201,15,CLAY,58.6,41.4, -, -,1.2,6.5,10.6,12.7,14.8,17.8,17.6,12.3,7.2, -,57,56.7,19.9,9.7,13.7,8.3,73.8,17.8,29.4, -,22.2, -,41.4,58.6,99.3,0.7, -,1.451750640,2.439917043,7.478345736,11.540807613,13.895327559,16.359643772,17.982188606,15.871660364,9.259485178,3.720873490,0.256191289,53,58.547113962,41.452886038,130,435,32,49.316894369,50.683105631,80.604150468,12.321355844,0.564626606,3.170239550,0.159206191,3.180421341,10.336832167
