Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_FEMALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,POP_%_0_4,_POP_%_5_9,_POP_%_10_14,_POP_%_15_19,_POP_%_20_24,_POP_%_25_29,_POP_%_30_34,_POP_%_35_39,_POP_%_40_44,_POP_%_45_49,_POP_%_50_54,_POP_%_55_59,_POP_%_60_64,_POP_%_65_69,_POP_%_70_74,_POP_%_75_79,_POP_%_80_84,_POP_%_80_Plus
825,30,963,DESOTO,361,0,58.85243328,0.089581178,56.62994478,43.37005522,84.23004081,12.61970178,1.098989037,0.597508603,0.170716744,1.283043026,31.87601697,0.176010273,5.028141588,5.180186188,5.281549254,5.716343461,6.671290245,7.559550802,6.732641575,6.68729494,5.444263651,5.841713569,5.793699485,6.140467871,5.737683054,5.71901091,5.641654885,4.942783216,3.032889648,2.848835658
10,27,359,DIXIE,60,1,23.68794326,0.029709233,55.35329341,44.64670659,87.39520958,9.832335329,0.580838323,0.413173653,0.017964072,1.760479042,4.017964072,0.078406241,4.616766467,5.155688623,5.22754491,4.868263473,4.898203593,6.263473054,5.598802395,6.275449102,5.652694611,5.532934132,6.958083832,7.832335329,7.473053892,7.023952096,6.640718563,4.796407186,2.964071856,2.221556886
3,18,209,DUVAL,1990,6,1246.956693,6.384439866,48.45750441,51.54249559,60.8023103,30.5736486,0.4526506,5.064298276,0.121871517,2.985220711,10.13659503,4.461085034,6.767447465,6.341318128,6.087261269,5.660289987,6.544858295,8.690344261,7.922280071,6.866060256,5.793843489,6.199029448,6.314375893,6.711247647,6.053478232,4.87096669,3.710450956,2.382914413,1.514237814,1.569595688
57,6,312,ESCAMBIA,985,7,480.9969512,1.528205883,49.49672619,50.50327382,68.91998961,23.20795857,0.899427637,3.407556713,0.179695374,3.385372099,5.819658103,1.481427228,6.029461167,5.776873491,5.776873491,6.736199585,7.974101048,8.026393352,6.692464204,5.887479638,5.080910457,5.656442729,5.94262425,6.988787262,6.587562672,5.486888893,4.443895111,2.99048597,2.001686031,1.920870651
38,12,185,FLAGLER,207,3,231.0659794,0.233445595,48.12032088,51.87967912,83.94978004,10.73911142,0.399760857,2.603799513,0.091016981,2.216531182,10.54280029,0.526152824,3.898560682,4.438416305,5.197783469,5.129074571,4.293859923,4.638296733,4.363461144,4.716821187,4.889931916,5.719792624,6.259648246,7.298312617,8.435132555,9.291762963,8.504733775,5.99641286,3.629079033,3.298919396
5,4,17,FRANKLIN,2,10,21.9364486,0.036680979,55.76857532,44.23142468,84.05760055,12.39775051,0.996932515,0.485685072,0.076687117,1.98534424,5.598159509,0.055100338,4.524539877,4.456373551,4.686434901,3.885480573,4.967620995,7.83060668,6.731424676,6.134969325,5.214723926,6.203135651,6.518404908,7.191547376,7.677232447,8.1799591,6.578050443,4.822767553,2.56475801,1.831970007
0,0,662,GADSDEN,304,0,88.94186047,0.130919684,47.47897329,52.52102671,41.65032466,55.76981741,0.58395433,0.729942912,0.135093912,1.13086678,10.508999,0.215471617,5.985531878,6.016036955,6.416960823,5.850437966,5.876585175,6.325445592,5.621649889,6.355950669,6.183814878,6.419139757,6.613064889,7.434523031,7.040135965,6.114088988,4.697781845,3.0766549,2.030766549,1.941430252
4,9,142,GILCHRIST,26,0,52.16,0.041602657,51.64877301,48.35122699,91.2028922,5.60363716,0.684706398,0.580631025,0.120508326,1.80762489,6.102103418,0.085711636,5.680324277,5.515994741,5.450262927,7.246932515,8.139789658,5.154469763,5.220201578,5.400964067,4.825810692,5.937773883,6.523882559,7.203111306,7.208588957,6.145924628,5.121603856,4.091805434,2.486853637,2.645705521
0,0,831,GLADES,114,0,17.02729529,0.029201149,56.24453512,43.75546488,78.83270184,13.82978723,5.187991839,0.706791023,0.102011075,1.340716992,21.14543865,0.064433967,3.111337802,4.153308073,4.925677645,4.728941999,4.830953075,6.703584961,6.310113669,6.368405713,5.974934421,6.390265229,6.084232002,6.32468668,6.812882542,6.754590498,7.439522005,6.32468668,3.985718449,2.776158554
1,7,49,GULF,8,1,28.65957447,0.040833124,58.53130413,41.46869587,79.81935165,17.0440485,0.66196486,0.476367236,0.02474635,1.973521406,4.621380846,0.075889729,4.002722098,4.441969809,4.435783222,4.305864885,5.555555556,7.590942836,6.774313289,6.205147241,6.341252165,6.922791388,7.269240287,7.306359812,7.275426875,7.145508537,5.963870329,3.977975749,2.400395942,2.08487998
0,0,1894,HAMILTON,271,0,27.84046693,0.042421928,57.88259958,42.11740042,62.94898672,32.84416492,1.05520615,0.817610063,0.027952481,2.306079665,9.797344514,0.067185228,5.457721873,4.912648498,5.324947589,5.576519916,9.070580014,7.8546471,6.08665269,5.639412998,5.870020964,6.226415094,6.624737945,6.589797345,6.77148847,5.779175402,5.157232704,3.109713487,1.921733054,2.026554857
2,14,719,HARDEE,196,0,42.70376176,0.120367778,52.76564507,47.23435493,88.43824555,7.469260415,1.174527436,1.130482657,0.110111947,1.677371995,43.97504129,0.127914852,6.89667829,7.278399706,7.630757937,7.168287759,7.216002936,7.436226831,5.960726739,5.523949349,5.744173243,6.100201872,5.876307579,5.612038906,4.922004037,5.010093595,4.18792439,3.097816113,2.330702881,2.007707836
0,0,1535,HENDRY,638,0,36.04163053,0.131486588,53.33285206,46.66714795,83.62931947,12.05602079,2.033400712,0.976994898,0.199730484,1.104533641,54.30262778,0.195104774,7.392434306,7.476658004,7.373183175,6.646452979,6.790836462,7.637886226,6.829338724,6.487631148,5.941380306,6.237366445,6.446722495,5.813841563,5.180960631,3.939262682,3.763596111,2.673500818,1.60987583,1.759072095
20,48,73,HERNANDO,140,1,403.5200846,0.412794469,48.1885102,51.8114898,89.80326409,5.978571241,0.486207529,1.444476462,0.086972467,2.200508213,14.18227543,0.89610821,4.555575931,4.931758049,5.478741519,5.239305268,4.773007099,5.466691117,5.073743222,5.139758468,5.001964739,5.94713541,6.341655097,7.155843135,7.434574175,7.472821104,7.261153171,5.673119744,3.676420507,3.376732245
5,3,162,HIGHLANDS,171,0,103.6617502,0.27449508,48.86458491,51.13541509,85.44069662,10.494764,0.66303688,1.559417211,0.095803612,1.746281682,20.81025194,0.494964042,4.562528457,4.681097283,5.023524055,4.424040067,4.466724844,4.987479132,4.678251632,4.578653817,4.170777053,4.602367582,5.162960996,6.223440583,7.131203521,7.895735316,8.743739566,7.946008499,5.503490666,5.217976931
9,9,251,HILLSBOROUGH,3613,1,1410.096173,8.644827147,48.9210015,51.0789985,74.28059807,17.84418827,0.524953928,4.429433609,0.130768717,2.790057402,29.2377694,6.746166839,6.194846084,6.283927488,6.329790492,6.298820785,6.412538764,7.822251978,7.433982328,7.129504874,6.492920812,6.789603643,6.501759358,6.403421839,5.617765616,4.720131284,3.801270524,2.481613042,1.634226189,1.6516249
99,7,159,HOLMES,31,0,40.74686192,0.034997241,53.0677209,46.9322791,88.99214458,6.746418853,1.042254967,0.66745392,0.179699132,2.372028546,2.967602814,0.091444212,5.50392771,5.247214663,5.955742671,5.457719361,6.387020588,6.802895723,5.863325974,5.888997279,5.904400062,6.751553114,6.602659547,7.013400421,6.746418853,6.094367716,4.898084921,3.937978128,2.793037942,2.151255327
0,0,130,INDIAN RIVER,205,4,312.9483101,0.578131298,47.91281533,52.08718467,86.91277086,9.482063108,0.437066824,1.578014522,0.050186452,1.539898229,12.68192589,0.73905159,4.067643714,4.304600001,4.626047404,4.864909506,4.323022876,4.845216088,4.376385686,4.485652392,4.340810479,5.200968154,5.932800976,7.508274412,8.077477718,8.698138019,8.588236041,6.529320958,4.426572138,4.803923437
11,7,660,JACKSON,319,0,52.61982571,0.129645527,55.09781596,44.90218404,69.19573543,26.8543629,0.875685747,0.755615361,0.293965428,2.024635131,5.01190353,0.226791225,5.042956216,4.895973502,5.266535555,5.550150088,6.111168616,6.997205258,6.550046579,7.102784391,6.697029293,6.624573026,6.334747956,6.665976607,6.651485353,5.79029086,5.094710692,3.680778387,2.596004554,2.347583066
1,2,224,JEFFERSON,32,0,23.89297659,0.032735138,52.42861142,47.57138858,63.08090706,34.30851064,0.412933931,0.636898096,0.034994401,1.525755879,3.856382979,0.067081938,4.465285554,4.815229563,5.025195969,4.472284434,4.521276596,5.991041433,5.739081747,5.599104143,5.907054871,6.599944009,7.572788354,7.789753639,7.971724524,7.649776036,6.599944009,4.136338186,2.554591265,2.589585666
