Deaths,_DEATHS_PER_100k,_POSITIVES_PER_1OOK,COUNTY,TPositive,Beaches_Per_County,_POP_PER_SQUARE_MILE,_%_GDP_of_State_GDP,_POP_PERCENT_MALE,_POP_TOT_WHITE,_POP_TOT_BLACK,_POP_TOT_AMERICAN_INDIAN,_POP_TOT_ASAIN,_POP_TOT_NATIVE_HAWAIIN_PI,_POP_TOT_MIXED_RACE,_POP_TOT_HISPANIC,_POP_%_State_Total,_POP_%_BTWN_0_29,_POP_%_BTWN_30_59,_POP_%_BTWN_60_PLUS
20,48,73,HERNANDO,140,1,403.5200846,0.412794469,48.1885102,89.80326409,5.978571241,0.486207529,1.444476462,0.086972467,2.200508213,14.18227543,0.89610821,30.44507898,44.89979829,34.89482095
5,3,162,HIGHLANDS,171,0,103.6617502,0.27449508,48.86458491,85.44069662,10.494764,0.66303688,1.559417211,0.095803612,1.746281682,20.81025194,0.494964042,28.14539384,38.87065564,42.4381545
9,9,251,HILLSBOROUGH,3613,1,1410.096173,8.644827147,48.9210015,74.28059807,17.84418827,0.524953928,4.429433609,0.130768717,2.790057402,29.2377694,6.746166839,39.34217559,54.9859836,19.90663156
99,7,159,HOLMES,31,0,40.74686192,0.034997241,53.0677209,88.99214458,6.746418853,1.042254967,0.66745392,0.179699132,2.372028546,2.967602814,0.091444212,35.35452072,51.21425271,26.62114289
0,0,130,INDIAN RIVER,205,4,312.9483101,0.578131298,47.91281533,86.91277086,9.482063108,0.437066824,1.578014522,0.050186452,1.539898229,12.68192589,0.73905159,27.03143959,41.01313106,41.12366831
11,7,660,JACKSON,319,0,52.61982571,0.129645527,55.09781596,69.19573543,26.8543629,0.875685747,0.755615361,0.293965428,2.024635131,5.01190353,0.226791225,33.86398924,53.08353173,26.16085291
1,2,224,JEFFERSON,32,0,23.89297659,0.032735138,52.42861142,63.08090706,34.30851064,0.412933931,0.636898096,0.034994401,1.525755879,3.856382979,0.067081938,29.29031355,49.72004479,31.50195969
4,28,149,LAFAYETTE,13,0,16.08103131,0.022603951,57.10032066,83.88685296,13.50206138,0.813101237,0.297755383,0.114521301,1.385707742,14.24644984,0.040996604,38.62803481,55.72606505,21.41548328
0,0,130,LAKE,464,0,380.0586354,0.895736527,48.39198306,83.54507076,11.32947166,0.607301645,2.261462293,0.185977363,2.070716279,16.04734989,1.673738487,31.38641496,45.34088837,33.66274422
16,4,376,LEE,2836,1,961.2866242,2.924395145,48.94872848,86.79331045,9.078994447,0.502511231,1.75865679,0.112773486,1.753753595,21.89647633,3.542882227,30.03259962,44.65405971,35.81399663
